ID,Word 1,Word 2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10,Annotator 11
125,酒,杜松子酒,nouns,5,3,5,4,4,6,3,3,3,2,3
126,心脏,手术,nouns,0,0,0,0,0,1,0,0,0,1,0
127,优雅,风格,nouns,0,2,4,3,2,0,2,2,3,1,1
128,家牛,牛肉,nouns,0,3,4,3,3,6,3,3,2,1,4
129,任务,高速公路,nouns,0,0,0,0,0,0,0,0,0,0,0
130,晚上,白天,nouns,0,0,0,0,0,0,0,0,0,0,0
131,容器,老鼠,nouns,0,0,0,0,0,0,0,0,0,0,0
132,游戏,戏法,nouns,0,3,0,0,2,2,0,0,0,0,0
133,家牛,酸奶,nouns,0,0,0,2,0,4,0,0,0,0,0
134,鸵鸟,果园,nouns,0,0,0,0,0,0,0,0,0,0,0
135,人,气球,nouns,0,0,0,0,0,0,0,0,0,0,0
136,门,厨房,nouns,0,0,0,0,0,0,0,0,0,0,0
137,商业,工业,nouns,0,3,0,1,4,0,0,0,0,1,1
138,污染,总统,nouns,0,0,0,0,0,0,0,0,0,0,0
139,海,海洋,nouns,6,5,6,6,6,6,6,6,6,6,6
140,教堂,电缆,nouns,0,0,0,0,0,0,0,0,0,0,0
141,衣服,纽扣,nouns,0,2,0,0,0,3,0,0,0,0,0
142,甲板,老鼠,nouns,0,0,0,0,0,0,0,0,0,0,0
143,否认,坦白,nouns,0,0,0,0,0,0,0,0,0,0,0
144,球,大炮,nouns,0,0,0,0,0,0,0,0,0,0,0
145,女孩,小孩,nouns,0,3,4,4,3,5,2,5,3,1,2
146,解剖学,生物学,nouns,0,4,4,4,5,0,0,3,3,4,2
147,乳制品,蜜糖,nouns,0,0,0,0,0,3,0,0,0,0,1
148,屋,谷仓,nouns,0,2,1,0,0,1,0,0,0,1,1
149,晚餐,汤,nouns,0,0,0,0,1,4,0,0,0,0,0
150,意外,大灾难,nouns,4,4,3,0,4,4,4,0,3,3,4
151,弯曲,角度,nouns,0,2,0,3,2,4,0,0,0,0,0
152,人物,人,nouns,0,5,5,4,6,3,4,6,5,5,4
153,篮球,棒球,nouns,0,1,0,2,0,3,0,0,0,0,1
154,象征,标志,nouns,5,5,4,5,6,5,6,5,5,4,5
155,国王,公主,nouns,0,0,0,0,0,0,0,0,0,0,0
156,情侣,一对,nouns,0,5,0,5,0,6,4,5,3,5,4
157,光线电话机,同音词,nouns,0,0,0,0,0,0,0,0,0,0,0
158,目标,箭头,nouns,0,0,1,0,2,2,0,0,0,2,1
159,神职人员,僧侣,nouns,0,2,5,3,3,4,0,3,3,2,3
160,学生,小学生,nouns,5,3,5,4,5,6,5,3,3,2,3
161,婴儿,女儿,nouns,3,1,1,2,3,5,3,5,2,2,3
162,苹果,酱,nouns,0,0,0,2,0,0,0,0,0,0,0
163,王子,国王,nouns,0,3,0,2,3,5,0,3,3,2,1
164,存在,门,nouns,0,0,0,0,0,0,0,0,0,0,0
165,床,沙发,nouns,0,3,0,0,0,4,0,0,0,2,0
166,喷泉,泉,nouns,5,3,4,2,4,6,5,3,3,3,4
167,数字,数,nouns,3,5,4,3,6,5,5,5,5,5,4
168,主题标签,主题,nouns,4,5,2,3,3,3,0,3,4,3,3
169,自信,自己,nouns,0,0,0,2,0,3,0,0,0,1,0
170,医生,正牙医生,nouns,0,5,5,4,3,5,5,3,3,3,3
171,监狱,选择,nouns,0,0,0,0,0,1,0,0,0,0,0
172,汽车,电梯,nouns,0,0,0,0,0,0,0,0,0,0,0
173,相机,总统,nouns,0,0,0,0,0,0,0,0,0,0,0
174,感染,词性变化,nouns,0,0,0,0,0,0,0,0,0,0,0
175,幼苗,叶,nouns,0,0,4,2,1,1,0,0,0,1,0
176,电容器,二极管,nouns,0,2,0,0,0,1,0,0,0,1,0
177,球拍,球,nouns,0,1,0,2,0,1,0,0,0,0,0
178,纸,硬纸板,nouns,0,3,4,3,3,3,5,3,4,1,4
179,恶魔,天使,nouns,0,1,0,2,0,0,0,0,0,0,0
180,床,椅子,nouns,0,1,0,0,0,1,0,0,0,2,0
181,金,锌,nouns,0,1,0,2,0,6,0,0,0,0,0
182,幼儿床,摇床,nouns,5,4,3,2,4,5,0,3,2,2,3
183,子程序,编译器,nouns,0,0,0,3,1,4,0,0,0,0,0
184,爸爸,母亲,nouns,0,0,0,2,0,0,0,0,0,3,1
185,乐队,游行,nouns,0,0,0,0,2,2,0,0,0,0,0
186,疾病,传染,nouns,0,2,0,4,0,4,0,0,0,3,0
187,身体,肚子,nouns,0,0,0,2,2,4,0,3,3,3,2
188,猫,宠物,nouns,0,3,4,4,1,6,4,5,5,2,3
189,容器,静脉,nouns,0,0,0,0,0,0,0,0,0,0,0
190,母亲,监护人,nouns,3,0,4,1,0,4,3,6,5,3,3
191,旗帜学,旗,nouns,0,2,0,3,0,1,0,0,0,2,0
192,感觉,直觉,nouns,5,4,5,3,2,6,3,3,4,5,5
193,原子,碳,nouns,0,0,0,0,2,2,0,0,0,1,0
194,歌剧,电影,nouns,0,1,3,2,0,4,0,0,0,0,0
195,圣歌,稻草,nouns,0,0,0,0,0,0,0,0,0,0,0
196,逻辑,算术,nouns,0,0,4,2,4,3,0,3,3,1,3
197,矩阵,向量,nouns,0,4,4,0,3,1,0,0,0,0,0
198,苹果,阳光,nouns,0,0,0,2,0,0,0,0,0,0,0
199,裁判官,法官,nouns,4,4,5,3,2,5,0,3,3,4,6
200,指甲,拇指,nouns,0,0,0,2,0,3,0,0,0,0,0
201,元,百万富翁,nouns,0,0,0,0,0,0,0,0,0,0,0
202,作业,任务,nouns,4,3,4,2,2,4,0,3,3,2,1
203,雕塑,雕像,nouns,5,5,6,5,6,6,6,6,3,5,6
204,工人,机械师,nouns,2,3,4,1,3,3,0,3,3,3,1
205,主意,方案,nouns,0,5,4,3,5,3,3,5,0,2,2
206,蛋白质,柄,nouns,0,0,0,0,0,0,0,0,0,0,0
207,航空电子学,航空学,nouns,0,4,4,4,3,4,3,2,3,3,4
208,米,码,nouns,0,0,2,3,6,5,0,3,3,1,2
209,衣服,布,nouns,0,4,3,3,1,3,0,2,5,1,4
210,大主教,主教,nouns,5,5,5,3,4,4,5,3,3,5,5
211,峡谷,山谷,nouns,5,5,5,3,3,4,5,3,4,3,5
212,花,灌木,nouns,0,2,0,2,0,2,0,0,0,1,0
213,排外主义,种族主义,nouns,3,2,1,3,3,6,3,3,3,4,4
214,床,幼儿床,nouns,0,3,5,3,6,5,3,3,3,0,3
215,枪,刀,nouns,0,1,0,3,3,4,0,2,3,4,3
216,暴风雨,飓风,nouns,5,2,4,3,2,4,0,1,3,2,3
217,主机板,主板,nouns,0,6,6,2,3,2,0,6,4,4,3
218,病理学,血液学,nouns,2,1,0,1,3,4,0,3,5,3,2
219,天空,宇宙,nouns,0,4,0,3,3,0,4,3,3,4,3
220,男人,丈夫,nouns,0,2,3,4,3,6,3,4,5,1,2
221,海报,纸,nouns,0,1,1,3,2,3,3,3,2,1,2
222,文章,杂志,nouns,0,3,0,3,3,4,2,3,3,1,1
223,高度,换算,nouns,0,0,0,0,0,1,0,0,0,0,0
224,亿万富翁,无家可归,nouns,0,0,0,0,0,0,0,0,0,0,0
225,米饭,豆,nouns,0,0,0,1,0,4,0,0,0,0,0
226,椅子,长凳,nouns,3,4,4,3,6,5,4,4,3,1,4
227,努力,困难,nouns,0,1,0,0,0,1,0,0,0,0,0
228,嘴巴,牙齿,nouns,0,1,0,2,0,3,0,0,0,1,0
229,后缀,词缀,nouns,0,2,4,1,2,3,3,5,3,2,2
230,鸟,火鸡,nouns,0,2,5,2,3,2,0,0,0,1,2
231,日历,假日,nouns,0,1,0,1,0,1,0,0,0,3,0
232,偏见,沙文主义,nouns,0,3,1,1,2,4,0,0,0,0,2
233,自行车,卧室,nouns,0,0,0,0,0,0,0,0,0,0,0
234,幸福,和平,nouns,2,2,3,3,2,6,0,3,1,2,1
235,沙发,椅子,nouns,1,2,4,2,3,4,0,3,1,1,3
236,衣服,壁橱,nouns,0,2,0,1,3,0,0,0,0,0,0
237,父亲,天神,nouns,0,0,0,1,0,0,0,0,0,0,0
238,污染,大气层,nouns,0,1,0,0,0,1,0,0,0,0,0
239,维他命,铁,nouns,0,1,0,2,0,6,0,0,0,0,0
240,房间,单身牢房,nouns,1,1,4,1,6,4,0,3,1,1,3
241,学校,法律,nouns,0,0,0,0,0,4,0,0,0,0,0
242,皇帝,州长,nouns,0,0,0,0,0,3,0,0,0,0,0
243,晚餐,早餐,nouns,0,2,0,1,0,5,0,0,0,0,1
244,声学,声音,nouns,3,2,0,2,1,0,0,0,0,1,2
245,公主,饼干,nouns,0,0,0,0,0,0,0,0,0,0,0
246,化学,理论,nouns,0,2,3,0,2,1,0,0,0,0,0
247,交流,电视,nouns,0,0,0,0,0,0,0,0,0,0,0
248,雪,冰,nouns,0,3,4,4,6,4,0,3,0,1,3
249,书,主题,nouns,2,2,2,3,1,3,2,2,2,1,2
250,石,木,nouns,0,0,0,1,0,0,0,0,0,0,0
251,餐,晚饭,nouns,0,4,5,3,6,4,0,3,3,1,3
252,公国,亲王国,nouns,0,4,6,2,0,1,0,0,0,1,2
253,陶瓷,陶艺,nouns,3,5,0,3,3,5,0,2,0,3,2
254,磨坊,种子,nouns,0,0,0,0,0,2,0,0,0,0,0
255,字母,钢笔,nouns,0,0,0,0,0,0,0,0,0,0,0
256,司机,飞行员,nouns,0,2,2,1,4,5,0,0,0,2,0
257,晚上,章节,nouns,0,0,0,0,0,0,0,0,0,0,0
258,天气,波浪,nouns,0,0,0,1,0,0,0,0,0,0,0
259,钱,珍珠,nouns,0,0,0,0,0,0,0,0,0,0,0
260,洗手间,卧室,nouns,0,1,0,1,0,2,0,0,0,0,0
261,骨头,踝,nouns,0,0,0,0,3,1,0,0,0,1,0
262,行星,星星,nouns,3,4,4,3,4,6,0,3,3,3,3
263,风尚,时装,nouns,5,4,2,3,0,2,0,3,3,3,2
264,街,小巷,nouns,3,4,5,3,3,6,0,3,3,3,3
265,注意,意识,nouns,3,2,4,3,2,2,0,4,3,4,3
266,舌头,喉,nouns,0,3,0,2,0,2,0,0,0,2,0
267,恐龙,大象,nouns,0,0,0,1,0,1,0,0,0,0,0
268,意外,紧急情况,nouns,3,5,3,3,6,6,4,5,0,4,5
269,旅程,征服,nouns,0,0,0,2,2,0,0,0,0,1,0
270,任务,工作,nouns,5,4,2,3,6,4,3,4,3,1,2
271,男子,父亲,nouns,0,3,2,3,3,3,3,3,5,1,1
272,女人,男人,nouns,0,0,0,2,0,2,0,0,0,0,0
273,床,卧室,nouns,0,2,0,2,0,4,0,0,0,0,0
274,海滩,暗礁,nouns,0,2,0,0,0,0,0,0,0,0,0
275,海滩,海岸,nouns,3,5,4,3,2,2,2,3,2,4,3
276,网球,统计资料,nouns,0,0,0,0,0,0,0,0,0,0,0
277,器官,肝脏,nouns,0,3,3,2,0,6,5,3,3,1,3
278,财富,名誉,nouns,0,3,1,3,2,2,0,0,0,0,0
279,价值,价格,nouns,4,3,3,3,4,6,4,5,3,3,3
280,内衣褲,身体,nouns,0,0,0,0,0,0,0,0,0,0,0
281,狀師,律师,nouns,4,0,6,3,0,6,0,3,3,5,4
282,乙酰胆碱,鸢尾花,nouns,0,0,0,0,0,0,0,0,0,0,0
283,湖,沼泽,nouns,0,1,0,1,0,1,0,0,0,1,1
284,灯,精灵,nouns,0,0,0,0,0,0,0,0,0,0,0
285,仆人,奴隶,nouns,3,4,2,2,4,4,3,5,3,4,3
286,海军,军队,nouns,4,5,5,2,2,5,4,3,6,2,4
287,下面,侧面,nouns,0,1,0,1,0,0,0,0,0,0,0
288,盒子,帽子,nouns,0,0,0,0,0,0,0,0,0,0,0
289,分子,原子,nouns,3,3,5,2,1,5,0,3,3,1,1
290,手,拇指,nouns,0,0,0,2,0,1,0,0,0,1,0
291,老师,拉比,nouns,0,0,5,0,0,0,0,0,0,0,3
292,湖,云,nouns,0,0,0,1,0,0,0,0,0,0,0
293,男孩,孩子,nouns,2,3,5,3,2,6,4,3,3,3,3
294,电脑,机器,nouns,0,3,2,3,2,6,0,5,5,1,3
295,洞,妻子,nouns,0,0,0,1,0,6,0,0,0,0,0
296,学校,年级,nouns,0,2,0,2,0,4,0,1,1,1,1
297,苍蝇,蚂蚁,nouns,0,3,0,2,0,1,0,0,0,0,1
298,衣服,上衣,nouns,3,6,5,4,5,6,3,3,3,4,4
299,血液,骨髓,nouns,0,1,0,0,0,3,0,0,0,0,0
300,痛苦,悲痛,nouns,5,5,6,5,4,5,5,4,5,5,5
301,定理,理论,nouns,4,5,6,5,6,3,0,5,4,3,2
302,苹果,糖果,nouns,0,0,0,0,0,1,0,0,0,0,0
303,木,纸,nouns,0,3,0,0,0,2,0,0,0,0,0
304,讨论,争论,nouns,4,4,5,3,3,4,2,3,4,5,3
305,鸡,牛扒,nouns,0,0,0,0,0,2,0,0,0,0,0
306,兄弟会,门,nouns,0,0,0,0,0,0,0,0,0,0,0
307,房间,床,nouns,0,0,0,1,0,0,0,0,0,0,0
308,联合,总和,nouns,0,2,0,1,2,0,0,0,0,2,0
309,酒,鸡尾酒,nouns,4,5,5,3,2,6,3,3,3,1,3
310,费用,薪水,nouns,0,3,0,0,2,2,0,0,0,3,0
311,姊妹,兄弟,nouns,2,2,0,2,3,6,0,1,2,4,1
312,台风,气旋,nouns,2,5,4,3,2,5,4,4,2,1,3
313,作家,礼物,nouns,0,0,0,0,0,0,0,0,0,0,0
314,山,窗台,nouns,0,0,0,0,0,0,0,0,0,0,0
315,瓶子,容器,nouns,3,3,4,3,2,4,4,3,2,1,3
316,碗,尾巴,nouns,0,0,0,0,0,0,0,0,0,0,0
317,小炮舰,海岸,nouns,0,0,0,1,0,0,0,0,0,0,0
318,裙子,手表,nouns,0,0,0,0,0,0,0,0,0,0,0
319,水,盐,nouns,0,1,0,2,0,1,0,0,0,0,0
320,人口,人,nouns,0,2,5,3,3,4,0,3,2,4,2
321,詞,页,nouns,0,0,0,0,0,0,0,0,0,0,0
322,便条,作业,nouns,0,0,0,0,0,5,0,0,0,0,0
323,领导,经理,nouns,0,3,3,2,2,1,3,3,2,2,1
324,针织套衫,外套,nouns,0,3,4,3,2,5,3,5,4,3,2
325,鼻子,头,nouns,0,0,0,1,0,1,0,0,0,0,0
326,游戏,行动,nouns,0,0,0,0,0,0,0,0,0,0,0
327,电线,软线,nouns,0,0,1,2,2,4,2,0,1,0,1
328,头脑风暴,望远镜,nouns,0,0,0,0,0,0,0,0,0,0,0
329,组合,联合,nouns,0,3,3,5,0,5,3,4,2,2,1
330,女演员,演员,nouns,0,4,5,4,2,6,3,3,6,1,3
331,拉比,部长,nouns,0,0,0,0,0,1,0,0,0,0,0
332,伙伴,伴侣,nouns,0,4,3,3,1,3,0,3,5,5,3
333,创造者,制作者,nouns,0,3,4,2,3,6,4,3,5,5,3
334,床,毯子,nouns,0,0,0,1,0,0,0,0,0,0,0
335,树枝,手臂,nouns,0,0,0,0,0,1,0,0,0,0,0
336,徽章,尊严,nouns,0,0,0,0,0,0,0,0,0,0,0
337,飞机,喷气式飞机,nouns,0,5,5,3,6,6,3,3,2,2,4
338,男人,胜利者,nouns,0,0,0,0,0,4,0,0,0,0,0
339,菠萝,手机,nouns,0,0,0,0,0,0,0,0,0,0,0
340,碟,碗,nouns,0,4,0,2,2,4,0,1,3,3,1
341,草,苔藓,nouns,0,3,0,2,1,6,0,3,1,1,1
342,共和国,公爵,nouns,0,0,0,0,0,0,0,0,0,0,0
343,牛奶,果汁,nouns,0,2,0,2,0,3,0,0,0,0,0
344,老师,教练,nouns,0,3,3,3,2,5,0,3,2,3,1
345,裙带关系,国王,nouns,0,0,0,0,0,4,0,0,0,0,0
346,鸟,鹰,nouns,0,3,5,3,2,5,0,1,0,1,3
347,谷,凹地,nouns,0,0,6,3,0,5,0,5,3,2,3
348,机器,发动机,nouns,0,0,4,3,2,5,3,3,5,1,1
349,人,一分钱,nouns,0,0,0,0,0,0,0,0,0,0,0
350,工作者,办公室,nouns,0,0,0,0,0,4,0,0,0,0,0
351,密码,标志,nouns,0,0,0,0,0,1,0,0,0,0,0
352,公寓,家具,nouns,0,0,0,1,0,0,0,0,0,0,0
353,盒子,雪茄,nouns,0,0,0,1,0,0,0,0,0,0,0
354,沙漠,沙丘,nouns,3,3,3,3,3,4,0,5,2,2,3
355,柠檬,茶,nouns,0,0,0,1,0,0,0,0,0,0,0
356,橡木,枫木,nouns,3,4,0,3,2,5,0,3,2,1,3
357,长笛,音乐,nouns,0,3,0,3,0,3,0,1,0,1,1
358,钱,现金,nouns,3,6,6,3,6,6,2,3,3,3,4
359,眉头,眼睛,nouns,0,0,0,1,2,1,0,0,0,2,0
360,存款,储蓄者,nouns,0,2,0,0,0,2,0,0,0,0,0
361,臀部,唇,nouns,0,0,0,0,0,0,0,0,0,0,0
362,岩浆,火山,nouns,0,3,0,2,0,0,0,5,4,2,1
363,烟斗,雪茄,nouns,0,3,0,3,2,4,0,5,1,1,1
364,人类学,考古学,nouns,0,0,0,4,2,2,0,0,0,0,2
365,小山,悬崖,nouns,0,4,0,1,0,0,0,0,0,0,0
366,游戏,乐趣,nouns,0,1,0,0,0,2,0,0,0,2,0
367,深度,大小,nouns,0,1,2,1,0,4,0,0,0,1,0
368,兄弟,灵魂,nouns,0,0,0,0,0,0,0,0,0,0,0
369,偏压,意见,nouns,0,0,2,1,0,0,0,0,0,0,0
370,节奏,旋律,nouns,5,3,6,4,2,5,2,6,3,3,1
371,公式,日志,nouns,0,0,0,0,0,0,0,0,0,0,0
372,主教,穆斯林,nouns,0,2,0,0,0,6,0,0,0,0,0
373,衣服,外套,nouns,4,4,5,4,4,0,3,3,3,3,3
374,鼻子,嘴巴,nouns,0,0,0,1,0,0,0,0,0,0,0
375,纱,线,nouns,0,2,0,2,0,3,2,3,3,0,1
376,高速公路,路,nouns,4,4,5,4,2,6,3,3,3,2,5
377,农药,虫害,nouns,0,0,0,3,0,1,0,0,0,0,0
378,杯子,罐子,nouns,3,4,0,1,2,4,0,3,1,1,3
379,街,汽车,nouns,0,0,0,0,0,3,0,0,0,0,0
380,队长,水手,nouns,0,0,0,0,1,0,0,0,0,0,0
381,理论,假设,nouns,3,3,0,3,2,0,0,1,0,0,1
382,正牙医生,牙医,nouns,4,6,5,4,4,6,4,3,3,4,2
383,充电器,磁盘,nouns,0,0,0,1,0,0,0,0,0,0,0
384,脸颊,舌头,nouns,0,0,0,0,0,0,0,0,0,0,0
385,士兵,和平,nouns,0,0,0,1,0,0,0,0,0,0,0
386,电影,剧院,nouns,4,5,0,2,2,4,0,0,0,3,1
387,癌症,疾病,nouns,4,5,4,5,2,5,4,3,5,1,5
388,俱乐部,社会,nouns,0,0,0,0,0,0,0,0,0,0,0
