,Unnamed: 0,ID,word1,word2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10,Annotator 11,avg_anno
273,442,443,云,窗口,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
276,22,23,行动,课程,nouns,0,0,1,0,0,2,0,0,0,1,0,0.36
122,985,986,红酒,酒,nouns,4,5,5,5,3,6,3,3,3,2,5,4.0
329,451,452,水平,得分,nouns,0,0,0,0,3,4,0,0,0,1,0,0.73
167,1039,1040,尖顶,教堂,nouns,0,0,0,0,0,4,0,0,0,0,4,0.73
232,370,371,公式,日志,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
217,232,233,自行车,卧室,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
346,1049,1050,血液,肉,nouns,0,0,0,2,0,1,0,0,0,0,1,0.36
201,18,19,骨头,牙齿,nouns,0,0,3,1,1,0,0,0,0,1,1,0.64
199,453,454,规则,惯例,nouns,4,1,4,3,3,2,2,2,3,2,2,2.55
149,939,940,音乐,旋律,nouns,4,5,0,4,4,5,3,3,5,4,3,3.64
170,85,86,章,选择,nouns,0,0,1,0,0,0,0,0,0,0,0,0.09
267,278,279,价值,价格,nouns,4,3,3,3,4,6,4,5,3,3,3,3.73
292,405,406,吉他,鼓,nouns,0,1,0,1,0,2,0,0,0,0,0,0.36
248,211,212,花,灌木,nouns,0,2,0,2,0,2,0,0,0,1,0,0.64
203,333,334,床,毯子,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
173,393,394,洞,协议,nouns,0,0,0,0,0,0,0,0,0,0,0,0.0
210,683,684,大麻,草药,nouns,2,1,5,3,3,4,2,2,3,1,3,2.64
181,787,788,协议,条件,nouns,0,3,4,3,2,5,0,1,2,2,3,2.27
324,789,790,男人,武士,nouns,0,0,0,0,1,1,2,0,0,0,2,0.55
298,526,527,蝙蝠,吸血鬼,nouns,0,2,0,0,0,2,0,0,0,1,1,0.55
270,195,196,逻辑,算术,nouns,0,0,4,2,4,3,0,3,3,1,3,2.09
138,622,623,威士忌酒,杜松子酒,nouns,0,2,0,1,2,5,0,3,2,0,3,1.64
314,336,337,飞机,喷气式飞机,nouns,0,5,5,3,6,6,3,3,2,2,4,3.55
208,112,113,肾,器官,nouns,3,5,5,5,4,6,5,3,3,4,5,4.36
242,797,798,后世,炼狱,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
127,277,278,财富,名誉,nouns,0,3,1,3,2,2,0,0,0,0,0,1.0
219,14,15,蜥蜴,鳄鱼,nouns,0,3,0,1,0,0,0,0,0,0,1,0.45
187,384,385,士兵,和平,nouns,0,0,0,1,0,0,0,0,0,0,0,0.09
442,1745,1746,降低,减少,verbs,5,3,6,6,4,6,0,2,3,3,4,3.82
367,1598,1599,攻击,加剧,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
427,1388,1389,假设,预测,verbs,5,5,4,5,5,5,5,5,5,4,5,4.82
386,1652,1653,逃跑,逃走,verbs,6,6,6,6,5,6,6,6,6,5,4,5.64
446,1691,1692,装作,似乎,verbs,0,0,0,0,0,3,0,0,0,0,0,0.27
370,1564,1565,戏弄,伤害,verbs,0,2,0,1,0,3,0,0,0,1,0,0.64
434,1627,1628,承诺,发誓,verbs,4,6,4,5,5,5,0,3,5,4,2,3.91
460,1377,1378,发光,照耀,verbs,4,6,4,5,4,5,3,2,3,3,2,3.73
406,1351,1352,收藏,保存,verbs,3,6,5,5,5,6,3,5,5,3,4,4.55
463,1614,1615,收到,接受,verbs,0,4,2,2,0,2,0,0,0,0,0,0.91
440,1358,1359,生活,生存,verbs,3,3,1,3,2,5,0,3,3,2,2,2.45
458,1467,1468,走,发送,verbs,0,0,0,0,0,0,0,0,0,1,0,0.09
447,1636,1637,花费,节约,verbs,0,3,0,2,0,2,0,0,0,0,0,0.64
360,1396,1397,问,求情,verbs,0,0,0,1,0,2,0,0,0,0,0,0.27
400,1379,1380,离开,忽略,verbs,0,1,0,0,0,3,0,0,0,0,0,0.36
414,1309,1310,了解,原谅,verbs,0,0,0,1,2,2,0,2,0,0,0,0.64
469,1700,1701,装作,想像,verbs,0,0,0,0,0,2,0,0,0,0,0,0.18
455,1362,1363,抖动,搅拌,verbs,4,1,0,3,2,3,2,1,3,0,2,1.91
394,1342,1343,离开,徘徊,verbs,0,0,0,0,0,1,0,0,0,0,0,0.09
409,1514,1515,捏,用拳猛击,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
365,1742,1743,搜索,看,verbs,0,0,2,1,0,1,4,1,2,1,0,1.09
372,1339,1340,找到,消失,verbs,0,0,0,0,0,0,0,0,0,0,0,0.0
388,1713,1714,打,吸引,verbs,0,0,0,0,0,0,0,0,0,0,0,0.0
369,1697,1698,创建,做,verbs,0,0,0,1,2,1,0,2,3,0,0,0.82
408,1590,1591,做,赚,verbs,0,0,0,2,0,2,0,0,0,0,0,0.36
429,1357,1358,赦免,原谅,verbs,0,5,4,6,5,5,2,5,4,4,2,3.82
438,1324,1325,敬礼,演出,verbs,0,0,0,0,0,0,0,0,0,0,0,0.0
448,1363,1364,拖着脚走,骑,verbs,0,0,0,0,0,0,0,0,0,0,0,0.0
464,1526,1527,混合,联合,verbs,5,0,0,3,3,3,0,2,1,0,1,1.64
