,word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
141,航空,飞行,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5
142,汽车,软管,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,募捐,发展,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,房间,大厦,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
145,树枝,手臂,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
146,法庭,正义,3,2,3,2,2,3,4,3,3,3,3,4,2,2,2
147,女孩,小孩,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
148,雪,风暴,3,3,2,3,3,3,3,3,2,3,3,3,4,3,3
149,音乐,旋律,5,4,4,4,4,5,5,5,4,5,5,5,5,5,4
150,公主,饼干,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,任务,女人,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1
152,猫,狮子,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4
153,电影,剧院,3,3,3,2,2,3,3,3,3,3,2,3,3,3,2
154,态度,自信,4,3,3,3,2,4,4,4,3,4,4,3,2,2,3
155,老师,教练,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
156,续集,相机,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,意外,书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,文章,杂志,4,4,4,4,4,5,5,5,4,3,5,5,4,4,4
159,母鸡,火鸡,4,3,3,3,3,4,3,4,3,3,3,4,3,3,3
160,缺席,在场,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0
161,客串角色,性能,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0
162,便士,便宜货,2,2,2,2,2,2,3,2,3,2,2,2,1,2,2
163,床,医院,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1
164,牛,山羊,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4
165,血液,骨髓,4,4,3,4,3,5,4,4,4,3,4,4,3,4,3
166,足球,英式足球,6,6,5,5,5,6,6,6,6,5,6,6,6,6,5
167,尖顶,教堂,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2
168,木,原木,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5
169,车,高速公路,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2
170,章,选择,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1
171,幸福,和平,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
172,喷嘴,流体,3,3,3,4,4,2,3,4,2,3,2,3,4,4,3
173,洞,协议,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,踝,窗口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,早餐,培根,2,3,2,3,3,4,3,4,3,4,3,3,3,3,4
176,小说,作家,3,4,3,4,4,3,4,3,3,4,4,4,4,4,4
177,病人,复诊,3,4,3,4,5,4,4,3,4,4,4,4,5,5,4
178,大灾变,火,1,2,2,2,3,2,2,2,2,3,3,2,3,2,2
179,冠军,优胜者,6,5,6,6,6,6,5,6,5,6,6,5,6,6,6
180,侵略,敌意,3,4,3,5,4,5,4,5,4,5,5,4,5,4,4
181,协议,条件,2,2,1,3,2,3,2,3,2,3,2,2,3,3,3
182,滑雪板,滑雪,4,4,4,4,5,5,4,5,4,5,5,4,5,5,5
183,工作者,雇主,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2
184,蔗糖,糖类,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
185,洗手间,厨房,2,2,1,2,1,2,2,2,2,2,2,2,1,3,2
186,帮手,女仆,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4
187,士兵,和平,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,感觉,直觉,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5
189,子程序,编译器,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2
190,洞,妻子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,狗,马,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
192,乐队,管弦乐队,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
193,衣服,外套,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
194,荣誉,敬重,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
195,谷,凹地,4,5,5,5,5,5,4,4,5,5,5,4,4,5,4
196,课程,肚子,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,天神,魔鬼,2,1,2,2,2,1,2,1,1,1,2,2,1,1,1
198,身体,脊柱,5,4,4,4,4,4,5,4,4,4,4,4,5,4,4
199,规则,惯例,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5
200,苍蝇,蚂蚁,3,4,3,4,3,3,3,4,3,3,3,3,3,2,3
201,骨头,牙齿,4,3,3,3,3,3,4,4,3,3,4,3,3,3,3
202,力量,能力,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
203,床,毯子,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
204,便条,作业,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
205,汽车,货车,5,4,5,4,4,4,4,5,4,4,4,4,5,4,4
206,身体,胸部,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
207,商业,工业,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
208,肾,器官,5,5,6,5,5,5,5,5,5,5,5,6,5,5,5
209,晚上,章节,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,大麻,草药,3,4,4,4,3,4,3,4,3,3,4,4,3,3,3
211,重新安葬,坟墓,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
212,人,一分钱,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
213,恶意软件,蠕虫,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5
214,人物,人,5,5,4,4,4,5,4,5,5,5,5,5,6,5,4
215,爆玉米花,电影,3,3,2,3,2,2,3,3,2,2,3,3,2,2,2
216,蝴蝶,玫瑰,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1
217,自行车,卧室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,鸵鸟,果园,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,蜥蜴,鳄鱼,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4
220,河流,大海,5,4,5,4,5,4,4,5,5,4,5,4,5,5,4
221,领导,经理,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
222,容器,老鼠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,司机,飞行员,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3
224,检察官,律师,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5
225,眉头,眼睛,4,3,3,4,4,4,4,4,3,4,4,3,4,4,3
226,米,码,5,4,5,4,5,4,5,4,5,5,5,4,5,5,5
227,队长,水手,3,2,3,3,3,2,2,3,4,3,3,2,2,3,3
228,工人,机械师,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4
229,首词,句法,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
230,海军,军队,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
231,车,出租车,5,5,5,5,5,4,4,5,4,5,5,5,4,5,5
232,公式,日志,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
233,飞机,机场,4,2,3,3,3,3,2,3,3,2,3,3,3,3,2
234,云,薄雾,4,4,5,4,4,3,4,4,4,4,4,4,5,4,4
235,密码,标志,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
236,手臂,脖子,3,4,4,2,4,4,3,3,3,3,4,3,4,3,3
237,词,页,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
238,航空电子学,航空学,5,5,5,4,4,5,5,5,4,4,5,5,5,4,5
239,飞机场,片,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,历史学家,史学家,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
241,篱笆,跳跃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,后世,炼狱,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
243,电动机,发动机,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
244,猫,兔子,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3
245,蜜蜂,蚂蚁,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4
246,暴民,人群,3,3,3,3,3,2,3,4,2,3,3,4,3,2,3
247,烟草,香烟,4,5,5,4,4,5,5,5,5,5,5,4,4,4,4
248,花,灌木,3,3,3,3,3,4,2,3,3,4,4,2,3,3,3
249,徽章,玻璃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,鼻子,嘴巴,4,2,3,2,3,3,2,2,2,3,2,3,3,2,2
251,环球航行,行李,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
252,智力,洞察力,5,4,4,5,4,5,4,5,5,5,4,4,4,4,5
253,手,脚,4,3,4,4,4,3,3,3,4,4,3,3,3,3,3
254,风尚,时装,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4
255,证明,事实,3,5,4,4,3,5,4,4,5,5,5,3,3,4,5
256,生物学家,显微镜,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
257,仆人,奴隶,4,3,3,3,4,4,3,3,3,3,3,3,2,3,4
258,肌肉,舌头,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2
259,数学家,节目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,代码,符号,4,4,3,4,5,4,4,4,4,4,5,4,3,3,4
261,乳制品,蜜糖,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2
262,雪,冰,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
263,酒,白兰地酒,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5
264,价值观,信念,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
265,雪,天气,2,3,3,3,2,2,3,3,3,3,2,3,3,3,3
266,手指,手掌,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
267,价值,价格,4,5,4,5,4,4,4,5,4,4,4,4,4,5,4
268,秒,分钟,4,4,3,4,4,3,4,4,3,3,3,3,3,4,4
269,一分钱,尺寸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,逻辑,算术,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2
271,牛,家牛,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
272,人群,束,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
273,云,窗口,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
274,大主教,主教,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
275,世纪,年,4,4,3,4,4,4,4,3,4,3,3,3,3,4,4
276,行动,课程,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
277,身体,肚子,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4
278,暴风雨,飓风,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
279,指甲,手,2,3,2,3,3,2,3,2,3,2,3,3,2,3,3
280,衣服,壁橱,3,2,1,2,2,1,2,1,2,2,2,2,2,2,2
281,男孩,孩子,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
282,大气层,臭氧,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3
283,意见,主意,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5
284,契约,协议,5,5,5,6,5,4,5,5,5,5,5,5,5,5,5
285,磁盘,电脑,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2
286,晚餐,汤,3,3,2,3,3,3,3,2,3,3,2,2,2,2,3
287,水,盐,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
288,男人,嫌疑人,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
289,朋友,宾客,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4
290,衣服,布料,5,3,4,5,4,5,4,5,3,5,4,5,3,4,5
291,家伙,帅哥,3,3,3,3,3,4,3,3,3,3,2,3,2,3,3
292,吉他,鼓,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
293,歌剧,电影,3,2,3,2,3,3,2,3,2,3,2,3,2,3,3
294,海军,岛,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
295,大自然,植物群,4,4,4,4,3,4,3,4,5,5,3,4,3,4,4
296,犯罪,违反,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
297,橡木,枫木,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
298,蝙蝠,吸血鬼,3,2,2,2,3,3,2,2,2,3,3,2,2,3,3
299,伞,暖炉,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0
300,财富,声望,2,3,3,3,2,3,2,3,2,2,2,2,2,3,2
301,生日,日期,3,3,4,3,3,4,3,4,3,3,3,3,3,2,3
302,副驾驶,座舱,4,2,3,4,4,3,3,3,4,4,4,3,3,4,3
303,传感器,散热器,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1
304,学校,年级,3,2,4,3,3,3,3,4,3,3,3,3,2,3,3
305,歌曲,演员,1,1,2,1,2,1,1,2,1,2,2,2,1,2,1
306,花朵,忍耐力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,面包,小麦粉,4,4,5,5,4,5,4,4,4,4,4,5,4,4,4
308,昆虫,蜜蜂,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5
309,喇叭,鼓,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
310,心情,情感,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5
311,传记,小说,3,2,3,3,3,4,3,3,3,4,4,4,3,3,4
312,活塞,发动机,3,4,4,4,4,3,4,5,4,3,5,4,4,5,3
313,人口,人,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5
314,飞机,喷气式飞机,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5
315,容器,静脉,1,1,1,2,2,2,1,1,1,2,1,1,1,2,2
316,地板,甲板,3,2,3,4,3,3,3,4,3,3,3,3,3,3,3
317,南,北,2,1,0,2,2,2,2,2,2,2,2,2,2,1,1
318,纱,线,3,3,3,4,4,4,4,4,3,3,4,3,3,2,4
319,房间,单身牢房,2,3,2,4,4,3,4,3,4,4,3,3,3,3,3
320,下面,侧面,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2
321,公司,企业,5,5,6,5,6,5,5,5,6,5,6,6,6,6,5
322,音节,词元,2,3,3,2,3,3,4,3,3,3,3,2,2,3,3
323,律师,画廊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,男人,武士,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3
325,城镇,城市,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
326,蛇,蜥蜴,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4
327,地图,广场,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
328,锡,铝,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
329,水平,得分,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2
330,门,门口,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
331,指甲,拇指,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
332,甲板,老鼠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,大厦,雕塑家,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,单身牢房,锁起来,2,2,2,1,2,2,2,2,3,2,2,3,2,2,2
335,王冠,锁匙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,电线,软线,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5
337,图表,图解,6,5,5,5,5,5,5,5,6,6,5,6,5,6,6
338,成年人,监护人,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
339,翻译者,外国人,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
340,月亮,行星,3,3,4,3,3,3,3,4,3,4,3,2,2,4,2
341,歌谣,歌曲,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
342,钱包,袋,3,3,3,3,3,4,3,3,4,3,3,3,3,3,4
343,键盘,光,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,冬天,夏天,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2
345,菜单,点菜,3,4,4,4,4,3,4,4,4,4,2,4,4,3,4
