word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
谨慎地,有礼貌地,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4
异常地,一般,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
在家里,在别处,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1
理想地,实际地,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1
通常,日常,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5
准确地,积极地,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2
今天晚上,今天,4,4,4,4,4,5,4,4,5,4,4,4,4,4,3
两次,总是,1,2,2,1,2,2,2,1,1,2,1,2,2,1,1
最近,现实地,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0
粗糙地,大致,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2
死气沉沉的,高高兴兴地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
稍微地,大致,2,4,3,3,4,4,4,4,3,4,3,2,4,2,2
大致地,容易地,1,1,1,1,2,1,2,1,1,1,1,1,1,0,1
准确地,精确地,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
两次,多,2,2,2,1,1,2,1,2,1,2,1,1,2,1,1
紧紧地,难以置信地,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0
有时,每当,1,2,2,2,2,3,3,2,2,2,2,2,3,2,1
极其,非常,6,5,5,6,6,5,6,6,6,5,6,6,6,5,5
看来,显然,3,3,3,4,4,4,4,4,3,4,3,4,4,3,3
紧张地,焦急地,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
通常,很少地,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1
有意义地,特别,2,3,2,1,2,2,2,2,2,2,1,2,2,0,2
重要地,真实地,1,2,2,2,2,3,2,2,2,2,2,2,3,1,1
自豪的,谦逊地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香芹,松饼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
女儿,孩子,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
闪电攻击,攻击,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4
战斗,好斗,3,3,4,3,4,4,3,3,4,3,3,3,4,3,3
作曲家,作家,4,4,3,2,3,3,3,3,3,4,3,4,3,2,3
主机板,主板,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6
船,车,1,2,2,2,2,2,2,2,2,3,2,3,2,2,2
无穷,零,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
床,家俱,4,4,5,4,4,3,4,4,5,4,4,4,4,4,3
诗,韵律,5,5,4,5,5,4,5,5,4,3,5,5,5,5,4
肚子,卧室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩浆,火山,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
碗,尾巴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奖学金,学费,3,3,4,4,3,3,3,3,4,3,3,4,3,3,3
政治家,总统,4,4,5,5,4,4,4,5,5,4,4,5,5,4,4
泡,肥皂泡沫,5,5,5,5,5,5,5,4,4,5,6,4,4,5,5
节奏,旋律,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5
校园,大学,5,5,5,5,5,5,5,6,5,5,5,5,5,5,4
锡,金属,5,6,6,5,6,5,6,6,6,4,5,4,5,5,5
草,刀口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多面体,演员,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日期,日历,5,6,5,5,5,5,5,5,6,5,5,5,5,5,6
门,走廊,2,2,4,3,3,2,3,2,3,2,3,3,2,3,2
皇帝,宪法,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
丰富,许多,4,3,5,4,4,3,4,4,4,4,4,4,4,4,3
原木,沐浴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雨,薄雾,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3
苹果,柠檬,3,2,2,3,3,3,3,3,3,3,4,4,3,4,3
幸福,悲伤,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1
走道,大厅,4,4,5,4,4,3,4,4,4,4,4,3,4,4,4
红酒,酒,5,5,6,6,5,5,6,6,5,5,6,5,5,5,5
导演,摄影,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
老鹰,猎鹰,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
周末,种族,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
书,圣经,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
财富,名誉,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
尾巴,后部,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5
手臂,骨头,3,2,3,2,2,3,3,2,3,3,2,2,3,2,3
海滩,暗礁,2,3,3,2,3,3,2,3,2,3,3,3,2,3,2
过道,走廊,5,5,5,5,5,5,5,5,5,6,6,6,5,5,6
薄荷,博物馆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
游戏,乐趣,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
枪,大炮,3,3,4,3,3,4,4,3,4,3,3,4,3,3,4
深度,大小,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
作者,创造者,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
合金,钢,4,5,5,4,5,5,5,5,5,5,4,5,4,4,5
威士忌酒,杜松子酒,4,4,4,3,4,4,4,4,3,4,3,4,3,3,4
罐,瓶子,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4
报纸,资料,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3
航空,飞行,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5
汽车,软管,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
募捐,发展,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
房间,大厦,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2
树枝,手臂,2,3,2,2,3,3,2,2,2,3,2,2,4,2,3
法庭,正义,3,4,3,3,3,2,3,3,3,4,3,3,3,3,3
女孩,小孩,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4
雪,风暴,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3
音乐,旋律,5,4,5,5,5,5,5,5,5,6,5,5,5,5,5
公主,饼干,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
任务,女人,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
猫,狮子,4,3,4,4,3,4,3,4,4,4,4,4,4,4,3
电影,剧院,3,2,2,3,2,2,4,2,2,3,2,3,2,3,2
态度,自信,2,3,3,2,2,3,2,3,3,4,2,3,3,3,2
老师,教练,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
续集,相机,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
意外,书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
文章,杂志,4,5,4,4,4,4,5,4,5,4,3,5,5,4,4
母鸡,火鸡,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3
缺席,在场,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
客串角色,性能,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
便士,便宜货,2,1,3,1,2,2,1,1,1,2,2,2,1,2,1
床,医院,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
牛,山羊,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
血液,骨髓,4,3,4,3,5,4,4,3,3,4,3,5,3,4,3
足球,英式足球,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6
尖顶,教堂,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
木,原木,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车,高速公路,3,2,2,2,2,3,3,2,2,3,2,3,2,2,2
章,选择,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
幸福,和平,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
喷嘴,流体,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
洞,协议,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
踝,窗口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,培根,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3
小说,作家,4,5,5,5,4,4,5,5,5,4,4,5,5,5,5
病人,复诊,3,4,4,4,5,5,4,5,4,5,5,5,5,4,4
大灾变,火,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2
冠军,优胜者,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
侵略,敌意,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
协议,条件,3,4,4,3,3,4,4,3,4,4,3,4,3,4,4
滑雪板,滑雪,4,5,5,4,5,5,5,4,5,5,4,5,4,5,5
工作者,雇主,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
蔗糖,糖类,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
洗手间,厨房,2,2,2,2,1,2,2,2,2,3,1,2,2,2,2
帮手,女仆,4,4,4,4,4,4,5,5,5,5,4,5,4,5,4
士兵,和平,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
感觉,直觉,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5
子程序,编译器,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
洞,妻子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
狗,马,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
乐队,管弦乐队,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5
衣服,外套,4,4,5,4,3,4,4,5,4,4,4,4,4,5,4
荣誉,敬重,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
谷,凹地,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5
课程,肚子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天神,魔鬼,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1
身体,脊柱,5,4,4,5,5,4,4,5,5,5,5,4,5,4,5
规则,惯例,6,5,5,5,4,5,5,6,5,4,5,5,5,5,6
苍蝇,蚂蚁,4,4,2,3,2,3,3,2,3,4,3,3,3,3,2
骨头,牙齿,3,3,3,4,3,3,3,4,4,3,3,2,4,3,3
力量,能力,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
床,毯子,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
便条,作业,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1
汽车,货车,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4
身体,胸部,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
商业,工业,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
肾,器官,6,5,5,6,6,5,6,5,6,5,6,5,6,6,6
晚上,章节,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大麻,草药,4,4,3,4,3,4,4,3,3,3,4,4,3,4,4
重新安葬,坟墓,3,3,3,3,2,3,3,3,4,2,3,3,3,3,4
人,一分钱,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
恶意软件,蠕虫,5,5,4,4,4,5,5,5,5,5,5,4,5,5,4
人物,人,5,6,5,5,5,5,5,5,4,5,6,5,5,5,5
爆玉米花,电影,2,2,2,3,1,2,1,2,2,2,2,2,1,2,1
蝴蝶,玫瑰,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1
自行车,卧室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鸵鸟,果园,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蜥蜴,鳄鱼,4,3,3,3,3,3,3,3,3,3,2,2,2,2,3
河流,大海,5,4,4,4,4,5,4,4,4,4,3,4,4,4,4
领导,经理,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
容器,老鼠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
司机,飞行员,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
检察官,律师,4,5,5,4,4,4,5,5,5,4,4,5,4,5,5
眉头,眼睛,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2
米,码,5,4,4,5,3,4,4,4,2,3,4,4,4,4,4
队长,水手,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
工人,机械师,3,3,4,3,3,4,3,3,4,4,3,4,3,4,3
首词,句法,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1
海军,军队,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车,出租车,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
公式,日志,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
飞机,机场,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3
云,薄雾,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4
密码,标志,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
手臂,脖子,3,3,3,3,3,3,3,2,4,3,3,3,3,4,3
词,页,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
航空电子学,航空学,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
飞机场,片,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
历史学家,史学家,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
篱笆,跳跃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
后世,炼狱,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
电动机,发动机,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5
猫,兔子,3,3,3,3,3,3,4,3,4,4,3,2,3,3,4
蜜蜂,蚂蚁,4,5,4,4,4,4,5,4,5,5,4,4,4,4,5
暴民,人群,3,3,2,2,3,3,3,2,3,3,3,3,3,2,3
烟草,香烟,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
花,灌木,3,2,2,3,3,4,3,4,3,3,2,3,2,4,3
徽章,玻璃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鼻子,嘴巴,3,2,3,2,2,3,3,2,3,3,2,3,2,2,2
环球航行,行李,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
智力,洞察力,5,4,5,5,4,5,5,5,5,5,5,4,5,5,4
手,脚,4,3,4,4,3,4,4,3,4,4,4,4,4,3,3
风尚,时装,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3
证明,事实,5,3,4,4,4,5,4,5,4,5,4,4,4,4,4
生物学家,显微镜,4,4,4,2,3,2,3,4,3,3,2,3,3,2,4
仆人,奴隶,4,3,3,3,4,3,4,4,3,4,4,3,4,3,4
肌肉,舌头,3,2,2,2,2,3,3,2,3,3,2,3,2,2,2
数学家,节目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
代码,符号,4,3,4,3,4,4,4,5,4,4,4,4,4,3,4
乳制品,蜜糖,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1
雪,冰,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
酒,白兰地酒,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
价值观,信念,4,5,6,5,5,6,5,4,5,4,5,4,5,5,5
雪,天气,2,2,3,3,3,3,2,2,2,3,2,2,2,2,3
手指,手掌,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5
价值,价格,5,5,4,5,5,5,5,5,5,4,5,5,5,4,4
秒,分钟,4,3,3,4,3,4,3,4,4,3,4,4,4,3,3
一分钱,尺寸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
逻辑,算术,3,3,2,3,2,2,3,3,3,2,3,3,3,2,2
牛,家牛,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
人群,束,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
云,窗口,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
大主教,主教,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
世纪,年,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
行动,课程,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
身体,肚子,4,4,4,4,4,5,4,5,5,4,5,5,4,4,5
暴风雨,飓风,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
指甲,手,3,3,2,2,2,3,2,2,3,2,3,2,2,2,3
衣服,壁橱,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2
男孩,孩子,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
大气层,臭氧,3,3,3,3,3,3,2,3,4,3,3,3,3,3,4
意见,主意,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
契约,协议,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5
磁盘,电脑,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2
晚餐,汤,2,2,2,2,3,3,2,2,3,3,2,2,2,2,3
水,盐,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
男人,嫌疑人,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2
朋友,宾客,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3
衣服,布料,5,4,5,4,4,5,4,5,5,5,4,5,5,4,5
家伙,帅哥,3,3,2,2,3,2,2,3,4,4,3,3,3,3,3
吉他,鼓,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
歌剧,电影,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3
海军,岛,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
大自然,植物群,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4
犯罪,违反,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
橡木,枫木,5,5,5,5,5,5,5,5,5,6,4,5,5,5,5
蝙蝠,吸血鬼,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2
伞,暖炉,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
财富,声望,2,2,3,2,2,2,2,3,3,3,2,2,3,3,3
生日,日期,4,3,3,4,3,3,3,4,4,4,3,3,4,2,4
副驾驶,座舱,3,4,4,4,3,4,4,4,4,4,3,3,4,4,3
传感器,散热器,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
学校,年级,3,3,4,3,3,4,3,4,3,5,4,4,3,3,2
歌曲,演员,1,1,1,1,0,1,1,2,1,2,1,1,2,1,1
花朵,忍耐力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
面包,小麦粉,4,4,5,4,4,5,4,5,5,4,5,4,4,4,4
昆虫,蜜蜂,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5
喇叭,鼓,2,2,2,2,2,2,3,2,2,4,3,2,2,2,2
心情,情感,5,5,5,5,5,5,5,5,6,6,4,5,6,5,5
传记,小说,2,3,2,3,2,3,2,3,2,2,3,3,2,3,3
活塞,发动机,3,2,3,2,3,2,3,3,4,3,4,2,3,2,2
人口,人,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
飞机,喷气式飞机,5,5,5,5,5,6,5,5,6,5,5,5,5,5,6
容器,静脉,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1
地板,甲板,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3
南,北,0,1,0,1,1,0,0,0,0,0,1,0,1,0,2
纱,线,4,2,3,3,3,4,3,3,2,2,4,3,4,3,4
房间,单身牢房,4,4,4,4,4,3,2,3,3,3,3,4,3,4,4
下面,侧面,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2
公司,企业,6,6,6,5,6,6,6,6,5,6,5,6,6,5,6
音节,词元,2,3,3,3,3,2,3,2,2,2,2,2,2,3,3
律师,画廊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
男人,武士,3,4,3,3,4,3,3,3,3,3,3,4,3,4,4
城镇,城市,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
蛇,蜥蜴,4,4,4,4,4,4,3,4,4,3,3,3,4,2,4
地图,广场,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
锡,铝,4,4,4,3,4,4,4,4,4,2,4,3,4,3,4
水平,得分,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2
门,门口,4,5,4,4,4,3,4,4,4,3,3,4,4,4,5
指甲,拇指,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2
甲板,老鼠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大厦,雕塑家,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
单身牢房,锁起来,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2
王冠,锁匙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电线,软线,5,4,4,4,4,4,5,4,5,5,4,5,4,4,4
图表,图解,6,5,6,5,6,6,6,6,6,5,5,6,6,5,6
成年人,监护人,3,4,3,3,3,3,4,3,4,3,3,4,3,3,3
翻译者,外国人,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1
月亮,行星,4,5,5,3,4,4,4,4,3,4,4,4,4,4,4
歌谣,歌曲,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5
钱包,袋,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3
键盘,光,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冬天,夏天,2,1,2,2,1,1,1,1,2,2,1,1,2,1,2
菜单,点菜,4,4,4,4,4,3,3,3,4,3,4,4,3,4,4
血液,肉,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
新娘,公主,1,2,2,2,2,3,3,2,2,2,2,2,2,1,2
任务,稻草,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
裁判官,法官,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5
分界线,国境,4,5,4,4,4,4,6,4,4,5,5,5,4,4,4
书,正文,3,4,2,3,3,3,3,2,3,4,3,3,3,2,3
癌症,疾病,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6
优雅,风格,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3
星,明亮,1,2,1,1,2,1,2,1,1,2,1,2,1,2,1
失败,使气馁,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
掩盖,保护,3,3,3,3,2,3,3,3,2,2,3,2,3,2,3
偷,购买,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
说话,低语,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
提醒,忘记,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
问,求情,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
听,听见,6,6,5,5,6,5,6,6,6,6,6,6,5,6,6
侮辱,得罪,4,4,5,4,5,5,5,5,5,5,5,4,4,5,5
完成,毕业,5,5,5,5,4,4,5,4,4,4,4,5,5,4,4
玩,搏斗,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
搜索,看,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3
告诉,提醒,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
攻击,加剧,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
