,word1,word2,avg_pred_sl,avg_act_sl,avg_pred_act_gap
45,难以置信,普通,0.13,0.0,0.13
46,尖,平滑,0.02,0.18,-0.16
47,容易,灵活,1.94,0.45,1.49
48,满载,沉重,1.88,0.73,1.15
49,轻松,强调,0.12,0.0,0.12
50,中性,未拿定主意,2.32,0.64,1.6799999999999997
51,闻名,国民,1.44,0.0,1.44
52,乱,清洁,0.02,0.09,-0.06999999999999999
53,新,新鲜,5.08,4.0,1.08
54,孩子气,傻,3.02,2.91,0.10999999999999988
55,愉快,精彩,3.23,2.55,0.6800000000000002
56,旧,杂,1.05,0.0,1.05
57,羞耻,心烦,2.12,0.27,1.85
58,普通,冷,0.85,0.0,0.85
59,生病,疯,2.27,0.91,1.3599999999999999
60,每月,每周,3.51,1.64,1.8699999999999999
61,仁慈地,温和地,4.93,3.36,1.5699999999999998
62,不同的,奇怪地,1.78,0.36,1.42
63,和平地,混乱,0.0,0.0,0.0
64,好心地,仁慈地,5.82,4.64,1.1800000000000006
65,显然,不显眼地,0.22,0.36,-0.13999999999999999
66,大声地,微妙地,0.1,0.0,0.1
67,异常,奇怪地,4.56,3.73,0.8299999999999996
68,谨慎地,有礼貌地,3.77,0.64,3.13
69,异常地,一般,0.99,0.0,0.99
70,在家里,在别处,1.58,0.36,1.2200000000000002
71,理想地,实际地,0.72,0.18,0.54
72,通常,日常,4.76,3.18,1.5799999999999996
73,准确地,积极地,1.26,0.64,0.62
74,今天晚上,今天,4.22,2.36,1.8599999999999999
75,两次,总是,1.39,0.0,1.39
76,最近,现实地,1.15,0.0,1.15
77,粗糙地,大致,3.71,0.91,2.8
78,死气沉沉的,高高兴兴地,0.0,0.36,-0.36
79,稍微地,大致,3.61,2.0,1.6099999999999999
80,大致地,容易地,1.26,0.0,1.26
81,准确地,精确地,6.0,5.45,0.5499999999999998
82,两次,多,1.66,0.18,1.48
83,紧紧地,难以置信地,0.73,0.0,0.73
84,有时,每当,2.29,0.55,1.74
85,极其,非常,5.7,4.55,1.1500000000000004
86,看来,显然,3.56,1.91,1.6500000000000001
87,紧张地,焦急地,4.88,3.82,1.06
88,通常,很少地,1.12,0.36,0.7600000000000001
89,有意义地,特别,1.92,3.0,-1.08
90,重要地,真实地,2.36,0.0,2.36
91,自豪的,谦逊地,0.0,0.45,-0.45
92,香芹,松饼,0.0,0.0,0.0
93,女儿,孩子,4.97,2.91,2.0599999999999996
94,闪电攻击,攻击,4.24,3.45,0.79
95,战斗,好斗,3.65,3.0,0.6499999999999999
96,作曲家,作家,2.56,2.55,0.010000000000000231
97,主机板,主板,5.88,3.27,2.61
98,船,车,2.1,0.36,1.7400000000000002
99,无穷,零,0.36,0.0,0.36
100,床,家俱,3.91,3.55,0.3600000000000003
101,诗,韵律,3.86,0.36,3.5
102,肚子,卧室,0.06,0.0,0.06
103,岩浆,火山,4.74,1.55,3.1900000000000004
104,碗,尾巴,0.0,0.0,0.0
105,奖学金,学费,3.18,0.73,2.45
106,政治家,总统,4.48,3.09,1.3900000000000006
107,泡,肥皂泡沫,4.63,3.73,0.8999999999999999
108,节奏,旋律,4.49,3.64,0.8500000000000001
109,校园,大学,4.92,2.82,2.1
110,锡,金属,5.14,2.73,2.4099999999999997
111,草,刀口,0.0,0.0,0.0
112,多面体,演员,0.0,0.0,0.0
113,日期,日历,4.86,2.73,2.1300000000000003
114,门,走廊,2.79,0.36,2.43
115,皇帝,宪法,0.74,0.09,0.65
116,丰富,许多,3.78,4.18,-0.3999999999999999
117,原木,沐浴,0.02,0.0,0.02
118,雨,薄雾,3.22,0.82,2.4000000000000004
119,苹果,柠檬,3.47,0.18,3.29
120,幸福,悲伤,0.45,0.0,0.45
121,走道,大厅,3.13,0.18,2.9499999999999997
122,红酒,酒,5.37,4.0,1.37
123,导演,摄影,2.11,1.18,0.9299999999999999
124,老鹰,猎鹰,4.95,3.18,1.77
125,周末,种族,0.0,0.0,0.0
126,书,圣经,3.92,2.36,1.56
127,财富,名誉,2.85,1.0,1.85
128,尾巴,后部,4.32,2.91,1.4100000000000001
129,手臂,骨头,2.56,0.45,2.11
130,海滩,暗礁,2.39,0.18,2.21
131,过道,走廊,5.48,4.27,1.2100000000000009
132,薄荷,博物馆,0.0,0.0,0.0
133,游戏,乐趣,3.96,0.45,3.51
134,枪,大炮,3.56,1.73,1.83
135,深度,大小,2.1,0.82,1.2800000000000002
136,作者,创造者,4.74,4.0,0.7400000000000002
137,合金,钢,4.36,3.82,0.5400000000000005
138,威士忌酒,杜松子酒,3.6,1.64,1.9600000000000002
139,罐,瓶子,3.21,2.55,0.6600000000000001
140,报纸,资料,2.81,1.73,1.08
141,航空,飞行,4.8,3.0,1.7999999999999998
142,汽车,软管,0.02,0.09,-0.06999999999999999
143,募捐,发展,1.13,0.09,1.0399999999999998
144,房间,大厦,1.76,0.18,1.58
145,树枝,手臂,2.74,0.09,2.6500000000000004
146,法庭,正义,3.26,0.91,2.3499999999999996
147,女孩,小孩,5.04,2.91,2.13
148,雪,风暴,2.93,0.82,2.1100000000000003
149,音乐,旋律,4.93,3.64,1.2899999999999996
150,公主,饼干,0.0,0.0,0.0
151,任务,女人,0.42,0.0,0.42
152,猫,狮子,3.83,0.91,2.92
153,电影,剧院,2.91,1.91,1.0000000000000002
154,态度,自信,3.29,1.27,2.02
155,老师,教练,4.03,2.27,1.7600000000000002
156,续集,相机,0.0,0.09,-0.09
157,意外,书,0.0,0.0,0.0
158,文章,杂志,4.43,2.09,2.34
159,母鸡,火鸡,3.51,2.27,1.2399999999999998
160,缺席,在场,0.22,0.18,0.04000000000000001
161,客串角色,性能,0.31,0.09,0.22
162,便士,便宜货,2.08,0.09,1.99
163,床,医院,1.56,0.45,1.11
164,牛,山羊,4.18,0.45,3.7299999999999995
165,血液,骨髓,4.0,0.36,3.64
166,足球,英式足球,5.78,4.27,1.5100000000000007
167,尖顶,教堂,2.99,0.73,2.2600000000000002
168,木,原木,4.86,4.18,0.6800000000000006
169,车,高速公路,1.97,0.09,1.88
170,章,选择,0.58,0.09,0.49
171,幸福,和平,3.48,2.27,1.21
172,喷嘴,流体,2.97,0.0,2.97
173,洞,协议,0.0,0.0,0.0
174,踝,窗口,0.0,0.0,0.0
175,早餐,培根,3.32,0.45,2.8699999999999997
176,小说,作家,4.14,0.09,4.05
177,病人,复诊,4.24,0.36,3.8800000000000003
178,大灾变,火,2.81,0.82,1.9900000000000002
179,冠军,优胜者,5.88,5.55,0.33000000000000007
180,侵略,敌意,4.58,1.64,2.9400000000000004
181,协议,条件,3.19,2.27,0.9199999999999999
182,滑雪板,滑雪,4.68,1.45,3.2299999999999995
183,工作者,雇主,2.08,0.27,1.81
184,蔗糖,糖类,5.06,3.36,1.6999999999999997
185,洗手间,厨房,1.82,0.18,1.6400000000000001
186,帮手,女仆,4.31,2.55,1.7599999999999998
187,士兵,和平,1.14,0.09,1.0499999999999998
188,感觉,直觉,4.68,4.09,0.5899999999999999
189,子程序,编译器,1.96,0.73,1.23
190,洞,妻子,0.0,0.64,-0.64
191,狗,马,2.15,0.82,1.33
192,乐队,管弦乐队,4.97,3.91,1.0599999999999996
193,衣服,外套,4.57,3.27,1.3000000000000003
194,荣誉,敬重,4.71,0.64,4.07
195,谷,凹地,4.47,2.45,2.0199999999999996
196,课程,肚子,0.02,0.0,0.02
197,天神,魔鬼,1.54,0.09,1.45
198,身体,脊柱,4.49,1.36,3.13
199,规则,惯例,4.86,2.55,2.3100000000000005
200,苍蝇,蚂蚁,3.0,0.64,2.36
201,骨头,牙齿,3.24,0.64,2.6
202,力量,能力,4.94,2.91,2.0300000000000002
203,床,毯子,2.12,0.09,2.0300000000000002
204,便条,作业,1.09,0.45,0.6400000000000001
205,汽车,货车,4.46,2.82,1.6400000000000001
206,身体,胸部,4.92,2.0,2.92
207,商业,工业,4.11,0.91,3.2
208,肾,器官,5.4,4.36,1.04
209,晚上,章节,0.02,0.0,0.02
210,大麻,草药,3.58,2.64,0.94
211,重新安葬,坟墓,3.3,0.64,2.6599999999999997
212,人,一分钱,0.45,0.0,0.45
213,恶意软件,蠕虫,4.77,0.91,3.8599999999999994
214,人物,人,5.03,4.27,0.7600000000000007
215,爆玉米花,电影,2.45,0.45,2.0
216,蝴蝶,玫瑰,1.74,0.55,1.19
217,自行车,卧室,0.02,0.0,0.02
218,鸵鸟,果园,0.71,0.0,0.71
219,蜥蜴,鳄鱼,3.51,0.45,3.0599999999999996
220,河流,大海,4.41,2.09,2.3200000000000003
221,领导,经理,5.15,2.0,3.1500000000000004
222,容器,老鼠,0.0,0.0,0.0
223,司机,飞行员,3.19,1.45,1.74
224,检察官,律师,4.72,1.55,3.17
225,眉头,眼睛,3.54,0.55,2.99
226,米,码,4.43,2.27,2.1599999999999997
227,队长,水手,2.68,0.09,2.5900000000000003
228,工人,机械师,3.84,2.36,1.48
229,首词,句法,0.82,0.45,0.36999999999999994
230,海军,军队,5.0,3.82,1.1800000000000002
231,车,出租车,4.91,3.45,1.46
232,公式,日志,0.34,0.0,0.34
233,飞机,机场,2.84,1.09,1.7499999999999998
234,云,薄雾,4.21,2.91,1.2999999999999998
235,密码,标志,0.97,0.09,0.88
236,手臂,脖子,3.6,0.18,3.42
237,词,页,0.42,0.0,0.42
238,航空电子学,航空学,4.55,3.09,1.46
239,飞机场,片,0.14,0.0,0.14
240,历史学家,史学家,6.0,5.55,0.4500000000000002
241,篱笆,跳跃,0.0,0.0,0.0
242,后世,炼狱,1.06,0.09,0.9700000000000001
243,电动机,发动机,5.24,2.45,2.79
244,猫,兔子,3.11,0.55,2.5599999999999996
245,蜜蜂,蚂蚁,4.22,0.45,3.7699999999999996
246,暴民,人群,3.02,0.91,2.11
247,烟草,香烟,4.52,4.82,-0.3000000000000007
248,花,灌木,2.95,0.64,2.31
249,徽章,玻璃,0.02,0.09,-0.06999999999999999
250,鼻子,嘴巴,2.9,0.09,2.81
251,环球航行,行李,1.03,0.0,1.03
252,智力,洞察力,4.61,2.36,2.2500000000000004
253,手,脚,3.58,0.45,3.13
254,风尚,时装,3.99,2.45,1.54
255,证明,事实,4.14,0.82,3.32
256,生物学家,显微镜,2.38,0.18,2.1999999999999997
257,仆人,奴隶,3.31,3.36,-0.04999999999999982
258,肌肉,舌头,2.51,0.36,2.15
259,数学家,节目,0.02,0.0,0.02
260,代码,符号,4.03,2.91,1.12
261,乳制品,蜜糖,1.51,0.36,1.15
262,雪,冰,4.93,2.55,2.38
263,酒,白兰地酒,4.9,3.64,1.2600000000000002
264,价值观,信念,4.99,3.55,1.4400000000000004
265,雪,天气,2.72,1.73,0.9900000000000002
266,手指,手掌,4.36,1.82,2.54
267,价值,价格,4.41,3.73,0.6800000000000002
268,秒,分钟,3.87,2.09,1.7800000000000002
269,一分钱,尺寸,0.02,0.0,0.02
270,逻辑,算术,2.33,2.09,0.2400000000000002
271,牛,家牛,5.85,3.55,2.3
272,人群,束,0.91,0.0,0.91
273,云,窗口,0.24,0.0,0.24
274,大主教,主教,4.97,4.27,0.7000000000000002
275,世纪,年,4.03,2.0,2.0300000000000002
276,行动,课程,1.14,0.36,0.7799999999999999
277,身体,肚子,4.41,1.73,2.68
278,暴风雨,飓风,5.1,2.64,2.4599999999999995
279,指甲,手,2.66,0.55,2.1100000000000003
280,衣服,壁橱,2.02,0.55,1.47
281,男孩,孩子,5.25,3.36,1.8900000000000001
282,大气层,臭氧,3.4,2.64,0.7599999999999998
283,意见,主意,4.26,3.73,0.5299999999999998
284,契约,协议,5.28,4.64,0.6400000000000006
285,磁盘,电脑,2.16,0.55,1.61
286,晚餐,汤,2.7,0.45,2.25
287,水,盐,1.06,0.36,0.7000000000000001
288,男人,嫌疑人,1.82,0.55,1.27
289,朋友,宾客,3.72,3.18,0.54
290,衣服,布料,4.53,1.45,3.08
291,家伙,帅哥,2.94,0.82,2.12
292,吉他,鼓,2.32,0.36,1.96
293,歌剧,电影,2.92,0.91,2.01
294,海军,岛,1.05,0.09,0.9600000000000001
295,大自然,植物群,4.09,1.82,2.2699999999999996
296,犯罪,违反,4.96,3.45,1.5099999999999998
297,橡木,枫木,5.13,2.36,2.77
298,蝙蝠,吸血鬼,2.38,0.55,1.8299999999999998
299,伞,暖炉,0.28,0.09,0.19000000000000003
300,财富,声望,2.67,0.64,2.03
301,生日,日期,3.75,1.45,2.3
302,副驾驶,座舱,3.76,0.64,3.1199999999999997
303,传感器,散热器,1.28,0.36,0.92
304,学校,年级,3.39,1.09,2.3
305,歌曲,演员,1.3,0.36,0.9400000000000001
306,花朵,忍耐力,0.02,0.45,-0.43
307,面包,小麦粉,4.46,1.73,2.73
308,昆虫,蜜蜂,4.93,3.0,1.9299999999999997
309,喇叭,鼓,2.36,0.09,2.27
310,心情,情感,5.32,3.18,2.14
311,传记,小说,3.08,2.64,0.43999999999999995
312,活塞,发动机,3.68,1.18,2.5
313,人口,人,4.92,2.55,2.37
314,飞机,喷气式飞机,5.27,3.55,1.7199999999999998
315,容器,静脉,1.48,0.0,1.48
316,地板,甲板,3.27,2.36,0.9100000000000001
317,南,北,1.14,0.18,0.96
318,纱,线,3.59,1.45,2.1399999999999997
319,房间,单身牢房,3.41,2.27,1.1400000000000001
320,下面,侧面,2.01,0.18,1.8299999999999998
321,公司,企业,5.58,4.64,0.9400000000000004
322,音节,词元,2.65,1.0,1.65
323,律师,画廊,0.02,0.0,0.02
324,男人,武士,3.25,0.55,2.7
325,城镇,城市,5.14,3.82,1.3199999999999998
326,蛇,蜥蜴,3.91,0.91,3.0
327,地图,广场,0.88,0.27,0.61
328,锡,铝,3.7,0.73,2.97
329,水平,得分,2.12,0.73,1.3900000000000001
330,门,门口,4.02,3.64,0.37999999999999945
331,指甲,拇指,1.85,0.45,1.4000000000000001
332,甲板,老鼠,0.02,0.0,0.02
333,大厦,雕塑家,0.08,0.0,0.08
334,单身牢房,锁起来,2.14,1.09,1.05
335,王冠,锁匙,0.02,0.0,0.02
336,电线,软线,4.19,1.18,3.0100000000000007
337,图表,图解,5.52,3.18,2.3399999999999994
338,成年人,监护人,3.07,2.64,0.4299999999999997
339,翻译者,外国人,1.23,0.36,0.87
340,月亮,行星,3.51,2.73,0.7799999999999998
341,歌谣,歌曲,5.27,3.09,2.1799999999999997
342,钱包,袋,3.34,0.91,2.4299999999999997
343,键盘,光,0.02,0.09,-0.06999999999999999
344,冬天,夏天,1.69,0.09,1.5999999999999999
345,菜单,点菜,3.73,1.45,2.2800000000000002
346,血液,肉,2.09,0.36,1.73
347,新娘,公主,1.93,0.18,1.75
348,任务,稻草,0.0,0.0,0.0
349,裁判官,法官,5.22,3.55,1.67
350,分界线,国境,4.38,3.18,1.1999999999999997
351,书,正文,3.12,2.55,0.5700000000000003
352,癌症,疾病,5.72,3.91,1.8099999999999996
353,优雅,风格,3.46,1.82,1.64
354,星,明亮,1.65,0.27,1.38
355,失败,使气馁,2.34,3.0,-0.6600000000000001
356,掩盖,保护,3.02,1.18,1.84
357,偷,购买,0.5,0.55,-0.050000000000000044
358,说话,低语,4.94,3.0,1.9400000000000004
359,提醒,忘记,0.37,0.36,0.010000000000000009
360,问,求情,1.91,0.27,1.64
361,听,听见,5.78,4.27,1.5100000000000007
362,侮辱,得罪,4.44,2.82,1.6200000000000006
363,完成,毕业,4.75,2.36,2.39
364,玩,搏斗,0.83,0.36,0.47
365,搜索,看,2.75,1.09,1.66
366,告诉,提醒,4.14,2.91,1.2299999999999995
367,攻击,加剧,2.14,0.36,1.7800000000000002
368,接受,原谅,2.89,2.55,0.3400000000000003
369,创建,做,4.09,0.82,3.27
370,戏弄,伤害,2.17,0.64,1.5299999999999998
371,腐烂,毁灭,2.84,2.64,0.19999999999999973
372,找到,消失,0.35,0.0,0.35
373,断绝亲子关系,疏忽,1.58,0.0,1.58
374,记得,想,4.22,0.36,3.86
375,接受,承认,4.82,3.27,1.5500000000000003
376,给,偷,0.57,0.36,0.20999999999999996
377,咬,搏斗,1.68,1.73,-0.050000000000000044
378,成功,失败,0.05,0.36,-0.31
379,说谎,装作,3.86,2.27,1.5899999999999999
380,聚集,收集,4.56,2.73,1.8299999999999996
381,出席,到达,3.57,3.09,0.48
382,做,戒除,0.81,0.0,0.81
383,批评,讨厌,2.18,0.45,1.7300000000000002
384,离开,参加,0.5,0.36,0.14
385,搜索,狩猎,3.16,0.73,2.43
386,逃跑,逃走,5.95,5.64,0.3100000000000005
387,杀,防守,0.12,0.36,-0.24
388,打,吸引,0.76,0.0,0.76
389,使心烦,受伤,2.12,0.09,2.0300000000000002
390,讨论,说明,3.49,2.0,1.4900000000000002
391,忽略,避免,3.11,0.0,3.11
392,使灰心,使气馁,5.92,4.73,1.1899999999999995
393,追求,说服,1.69,0.18,1.51
394,离开,徘徊,0.97,0.09,0.88
395,羞辱,安慰,0.08,0.18,-0.09999999999999999
396,停,驾驶,0.35,0.09,0.26
397,傻笑,大笑,3.97,3.09,0.8800000000000003
398,允许,反驳,0.38,0.0,0.38
399,搜索,查询,4.77,3.91,0.8599999999999994
400,离开,忽略,1.94,0.36,1.58
401,分数,评分,4.34,2.91,1.4299999999999997
402,分析,评估,4.66,4.45,0.20999999999999996
403,出席,争论,0.27,0.18,0.09000000000000002
404,步行,站立,1.46,0.36,1.1
405,混合,溶解,3.32,0.55,2.7699999999999996
406,收藏,保存,4.89,4.55,0.33999999999999986
407,拿,交付,2.08,0.18,1.9000000000000001
408,做,赚,2.26,0.36,1.9
409,捏,用拳猛击,1.29,0.36,0.93
410,放开,按下,0.47,0.0,0.47
411,担心,浪费,0.28,0.0,0.28
412,知道,理解,4.86,3.82,1.0400000000000005
413,选择,挑选,5.97,3.55,2.42
414,了解,原谅,2.02,0.64,1.38
415,借,乞求,2.28,1.09,1.1899999999999997
416,拿,拥有,2.96,0.36,2.6
417,离开,留,0.26,0.18,0.08000000000000002
418,到达,离开,0.18,0.27,-0.09000000000000002
419,创建,潜水,0.0,0.0,0.0
420,享受,娱乐,4.13,1.0,3.13
421,建议,劝告,5.18,2.91,2.2699999999999996
422,编织,移动,1.42,0.0,1.42
423,运输,电梯,0.93,1.45,-0.5199999999999999
424,留,保留,5.62,3.64,1.98
425,同意,争论,0.18,0.36,-0.18
426,选择,选举,4.46,2.73,1.73
427,假设,预测,2.62,4.82,-2.2
428,欲望,想要,5.22,4.18,1.04
429,赦免,原谅,5.33,3.82,1.5100000000000002
430,啜,大口地吃,2.52,0.36,2.16
431,驱逐,离开,2.88,2.36,0.52
432,坠落,伤害,1.51,0.55,0.96
433,成功,尝试,2.14,0.27,1.87
434,承诺,发誓,4.98,3.91,1.0700000000000003
435,带来,抱怨,0.38,0.18,0.2
436,成长,增加,4.16,0.91,3.25
437,让,允许,5.64,3.45,2.1899999999999995
438,敬礼,演出,0.84,0.0,0.84
439,聚集,见面,2.55,0.64,1.9099999999999997
440,生活,生存,5.26,2.45,2.8099999999999996
441,安排,组织,4.43,0.82,3.61
442,降低,减少,5.48,3.82,1.6600000000000006
443,找到,逃逸,0.52,0.0,0.52
444,珍爱,保持,2.37,0.45,1.9200000000000002
445,给,知道,0.2,0.0,0.2
446,装作,似乎,3.89,0.27,3.62
447,花费,节约,0.55,0.64,-0.08999999999999997
448,拖着脚走,骑,0.0,0.0,0.0
449,煮沸,炒,2.46,0.73,1.73
450,漂移,流,4.0,2.0,2.0
451,知道,相信,3.57,0.91,2.6599999999999997
452,举起,提高,4.85,3.55,1.2999999999999998
453,发射,发送,3.06,2.91,0.1499999999999999
454,竞争,完成,1.13,0.0,1.13
455,抖动,搅拌,3.53,1.91,1.6199999999999999
456,给,断绝亲子关系,0.02,0.0,0.02
457,参与,加入,5.37,4.18,1.1900000000000004
458,走,发送,0.68,0.09,0.5900000000000001
459,获得,偷,2.81,1.27,1.54
460,发光,照耀,5.12,3.73,1.3900000000000001
461,提醒,卖,0.1,0.0,0.1
462,争论,叫喊,2.28,1.09,1.1899999999999997
463,收到,接受,5.53,0.91,4.62
464,混合,联合,4.15,1.64,2.5100000000000007
465,控制,停止,2.2,0.27,1.9300000000000002
466,做,发生,2.03,0.0,2.03
467,离开,走开,5.63,4.09,1.54
468,读,理解,3.54,0.64,2.9
469,装作,想像,2.46,0.18,2.28
470,跟随,追逐,4.03,2.82,1.2100000000000004
471,加,除,0.77,0.45,0.32
