,word1,word2,avg_pred_sl,avg_act_sl,avg_pred_act_gap
199,规则,惯例,4.86,2.55,2.31
248,花,灌木,2.95,0.64,2.31
304,学校,年级,3.39,1.09,2.3
301,生日,日期,3.75,1.45,2.3
271,牛,家牛,5.85,3.55,2.3
345,菜单,点菜,3.73,1.45,2.28
469,装作,想像,2.46,0.18,2.28
309,喇叭,鼓,2.36,0.09,2.27
295,大自然,植物群,4.09,1.82,2.27
421,建议,劝告,5.18,2.91,2.27
167,尖顶,教堂,2.99,0.73,2.26
252,智力,洞察力,4.61,2.36,2.25
286,晚餐,汤,2.7,0.45,2.25
130,海滩,暗礁,2.39,0.18,2.21
256,生物学家,显微镜,2.38,0.18,2.2
437,让,允许,5.64,3.45,2.19
341,歌谣,歌曲,5.27,3.09,2.18
430,啜,大口地吃,2.52,0.36,2.16
226,米,码,4.43,2.27,2.16
258,肌肉,舌头,2.51,0.36,2.15
310,心情,情感,5.32,3.18,2.14
318,纱,线,3.59,1.45,2.14
113,日期,日历,4.86,2.73,2.13
147,女孩,小孩,5.04,2.91,2.13
291,家伙,帅哥,2.94,0.82,2.12
279,指甲,手,2.66,0.55,2.11
148,雪,风暴,2.93,0.82,2.11
246,暴民,人群,3.02,0.91,2.11
129,手臂,骨头,2.56,0.45,2.11
109,校园,大学,4.92,2.82,2.1
38,粘人,缺乏信心,2.16,0.09,2.07
93,女儿,孩子,4.97,2.91,2.06
389,使心烦,受伤,2.12,0.09,2.03
202,力量,能力,4.94,2.91,2.03
203,床,毯子,2.12,0.09,2.03
275,世纪,年,4.03,2,2.03
300,财富,声望,2.67,0.64,2.03
466,做,发生,2.03,0,2.03
154,态度,自信,3.29,1.27,2.02
195,谷,凹地,4.47,2.45,2.02
293,歌剧,电影,2.92,0.91,2.01
450,漂移,流,4,2,2
215,爆玉米花,电影,2.45,0.45,2
178,大灾变,火,2.81,0.82,1.99
162,便士,便宜货,2.08,0.09,1.99
424,留,保留,5.62,3.64,1.98
138,威士忌酒,杜松子酒,3.6,1.64,1.96
292,吉他,鼓,2.32,0.36,1.96
358,说话,低语,4.94,3,1.94
465,控制,停止,2.2,0.27,1.93
308,昆虫,蜜蜂,4.93,3,1.93
444,珍爱,保持,2.37,0.45,1.92
439,聚集,见面,2.55,0.64,1.91
407,拿,交付,2.08,0.18,1.9
408,做,赚,2.26,0.36,1.9
281,男孩,孩子,5.25,3.36,1.89
42,非法,不道德,4.07,2.18,1.89
169,车,高速公路,1.97,0.09,1.88
433,成功,尝试,2.14,0.27,1.87
60,每月,每周,3.51,1.64,1.87
24,兴奋,受惊,2.41,0.55,1.86
74,今天晚上,今天,4.22,2.36,1.86
127,财富,名誉,2.85,1,1.85
57,羞耻,心烦,2.12,0.27,1.85
356,掩盖,保护,3.02,1.18,1.84
13,合法,允许,4.38,2.55,1.83
134,枪,大炮,3.56,1.73,1.83
298,蝙蝠,吸血鬼,2.38,0.55,1.83
320,下面,侧面,2.01,0.18,1.83
380,聚集,收集,4.56,2.73,1.83
183,工作者,雇主,2.08,0.27,1.81
352,癌症,疾病,5.72,3.91,1.81
141,航空,飞行,4.8,3,1.8
268,秒,分钟,3.87,2.09,1.78
367,攻击,加剧,2.14,0.36,1.78
124,老鹰,猎鹰,4.95,3.18,1.77
155,老师,教练,4.03,2.27,1.76
186,帮手,女仆,4.31,2.55,1.76
347,新娘,公主,1.93,0.18,1.75
233,飞机,机场,2.84,1.09,1.75
98,船,车,2.1,0.36,1.74
223,司机,飞行员,3.19,1.45,1.74
16,坏,平庸,1.83,0.09,1.74
84,有时,每当,2.29,0.55,1.74
383,批评,讨厌,2.18,0.45,1.73
346,血液,肉,2.09,0.36,1.73
426,选择,选举,4.46,2.73,1.73
449,煮沸,炒,2.46,0.73,1.73
314,飞机,喷气式飞机,5.27,3.55,1.72
184,蔗糖,糖类,5.06,3.36,1.7
50,中性,未拿定主意,2.32,0.64,1.68
349,裁判官,法官,5.22,3.55,1.67
442,降低,减少,5.48,3.82,1.66
365,搜索,看,2.75,1.09,1.66
86,看来,显然,3.56,1.91,1.65
322,音节,词元,2.65,1,1.65
185,洗手间,厨房,1.82,0.18,1.64
205,汽车,货车,4.46,2.82,1.64
353,优雅,风格,3.46,1.82,1.64
360,问,求情,1.91,0.27,1.64
35,强大,强大,6,4.36,1.64
362,侮辱,得罪,4.44,2.82,1.62
455,抖动,搅拌,3.53,1.91,1.62
285,磁盘,电脑,2.16,0.55,1.61
79,稍微地,大致,3.61,2,1.61
344,冬天,夏天,1.69,0.09,1.6
22,善良,大方,3.59,2,1.59
379,说谎,装作,3.86,2.27,1.59
400,离开,忽略,1.94,0.36,1.58
373,断绝亲子关系,疏忽,1.58,0,1.58
144,房间,大厦,1.76,0.18,1.58
72,通常,日常,4.76,3.18,1.58
61,仁慈地,温和地,4.93,3.36,1.57
29,婚外,不可說出口的,3.29,1.73,1.56
126,书,圣经,3.92,2.36,1.56
375,接受,承认,4.82,3.27,1.55
459,获得,偷,2.81,1.27,1.54
254,风尚,时装,3.99,2.45,1.54
467,离开,走开,5.63,4.09,1.54
8,粗糙,无礼,1.99,0.45,1.54
370,戏弄,伤害,2.17,0.64,1.53
166,足球,英式足球,5.78,4.27,1.51
361,听,听见,5.78,4.27,1.51
429,赦免,原谅,5.33,3.82,1.51
393,追求,说服,1.69,0.18,1.51
296,犯罪,违反,4.96,3.45,1.51
390,讨论,说明,3.49,2,1.49
47,容易,灵活,1.94,0.45,1.49
315,容器,静脉,1.48,0,1.48
82,两次,多,1.66,0.18,1.48
228,工人,机械师,3.84,2.36,1.48
280,衣服,壁橱,2.02,0.55,1.47
231,车,出租车,4.91,3.45,1.46
238,航空电子学,航空学,4.55,3.09,1.46
197,天神,魔鬼,1.54,0.09,1.45
264,价值观,信念,4.99,3.55,1.44
51,闻名,国民,1.44,0,1.44
401,分数,评分,4.34,2.91,1.43
62,不同的,奇怪地,1.78,0.36,1.42
422,编织,移动,1.42,0,1.42
128,尾巴,后部,4.32,2.91,1.41
41,害怕,急,1.59,0.18,1.41
331,指甲,拇指,1.85,0.45,1.4
106,政治家,总统,4.48,3.09,1.39
329,水平,得分,2.12,0.73,1.39
460,发光,照耀,5.12,3.73,1.39
75,两次,总是,1.39,0,1.39
354,星,明亮,1.65,0.27,1.38
414,了解,原谅,2.02,0.64,1.38
122,红酒,酒,5.37,4,1.37
59,生病,疯,2.27,0.91,1.36
191,狗,马,2.15,0.82,1.33
325,城镇,城市,5.14,3.82,1.32
21,自由,无辜,1.4,0.09,1.31
193,衣服,外套,4.57,3.27,1.3
234,云,薄雾,4.21,2.91,1.3
452,举起,提高,4.85,3.55,1.3
149,音乐,旋律,4.93,3.64,1.29
135,深度,大小,2.1,0.82,1.28
39,显著的,明显,5.45,4.18,1.27
288,男人,嫌疑人,1.82,0.55,1.27
263,酒,白兰地酒,4.9,3.64,1.26
80,大致地,容易地,1.26,0,1.26
27,人造,假,4.26,3,1.26
20,沈闷,枯燥,5.15,3.91,1.24
159,母鸡,火鸡,3.51,2.27,1.24
189,子程序,编译器,1.96,0.73,1.23
366,告诉,提醒,4.14,2.91,1.23
70,在家里,在别处,1.58,0.36,1.22
131,过道,走廊,5.48,4.27,1.21
470,跟随,追逐,4.03,2.82,1.21
171,幸福,和平,3.48,2.27,1.21
350,分界线,国境,4.38,3.18,1.2
457,参与,加入,5.37,4.18,1.19
216,蝴蝶,玫瑰,1.74,0.55,1.19
462,争论,叫喊,2.28,1.09,1.19
415,借,乞求,2.28,1.09,1.19
392,使灰心,使气馁,5.92,4.73,1.19
64,好心地,仁慈地,5.82,4.64,1.18
230,海军,军队,5,3.82,1.18
85,极其,非常,5.7,4.55,1.15
76,最近,现实地,1.15,0,1.15
48,满载,沉重,1.88,0.73,1.15
261,乳制品,蜜糖,1.51,0.36,1.15
319,房间,单身牢房,3.41,2.27,1.14
454,竞争,完成,1.13,0,1.13
260,代码,符号,4.03,2.91,1.12
37,脆弱,简单,1.3,0.18,1.12
163,床,医院,1.56,0.45,1.11
404,步行,站立,1.46,0.36,1.1
53,新,新鲜,5.08,4,1.08
140,报纸,资料,2.81,1.73,1.08
434,承诺,发誓,4.98,3.91,1.07
87,紧张地,焦急地,4.88,3.82,1.06
192,乐队,管弦乐队,4.97,3.91,1.06
5,不同,正常,1.05,0,1.05
334,单身牢房,锁起来,2.14,1.09,1.05
56,旧,杂,1.05,0,1.05
187,士兵,和平,1.14,0.09,1.05
412,知道,理解,4.86,3.82,1.04
208,肾,器官,5.4,4.36,1.04
428,欲望,想要,5.22,4.18,1.04
15,胆大,自豪,1.77,0.73,1.04
143,募捐,发展,1.13,0.09,1.04
251,环球航行,行李,1.03,0,1.03
153,电影,剧院,2.91,1.91,1
265,雪,天气,2.72,1.73,0.99
69,异常地,一般,0.99,0,0.99
242,后世,炼狱,1.06,0.09,0.97
294,海军,岛,1.05,0.09,0.96
432,坠落,伤害,1.51,0.55,0.96
317,南,北,1.14,0.18,0.96
43,严酷,残酷,5.22,4.27,0.95
321,公司,企业,5.58,4.64,0.94
305,歌曲,演员,1.3,0.36,0.94
210,大麻,草药,3.58,2.64,0.94
409,捏,用拳猛击,1.29,0.36,0.93
123,导演,摄影,2.11,1.18,0.93
303,传感器,散热器,1.28,0.36,0.92
181,协议,条件,3.19,2.27,0.92
7,愉快,快乐,5.82,4.91,0.91
316,地板,甲板,3.27,2.36,0.91
272,人群,束,0.91,0,0.91
107,泡,肥皂泡沫,4.63,3.73,0.9
397,傻笑,大笑,3.97,3.09,0.88
235,密码,标志,0.97,0.09,0.88
394,离开,徘徊,0.97,0.09,0.88
339,翻译者,外国人,1.23,0.36,0.87
399,搜索,查询,4.77,3.91,0.859999999999999
108,节奏,旋律,4.49,3.64,0.85
58,普通,冷,0.85,0,0.85
438,敬礼,演出,0.84,0,0.84
3,闷,平庸,1.75,0.91,0.84
67,异常,奇怪地,4.56,3.73,0.83
12,开心,疯狂,1.73,0.91,0.82
382,做,戒除,0.81,0,0.81
94,闪电攻击,攻击,4.24,3.45,0.79
31,个人,私人,5.06,4.27,0.79
276,行动,课程,1.14,0.36,0.78
340,月亮,行星,3.51,2.73,0.78
214,人物,人,5.03,4.27,0.760000000000001
88,通常,很少地,1.12,0.36,0.76
388,打,吸引,0.76,0,0.76
282,大气层,臭氧,3.4,2.64,0.76
136,作者,创造者,4.74,4,0.74
83,紧紧地,难以置信地,0.73,0,0.73
32,瘦,苗条,5.18,4.45,0.73
218,鸵鸟,果园,0.71,0,0.71
274,大主教,主教,4.97,4.27,0.7
287,水,盐,1.06,0.36,0.7
168,木,原木,4.86,4.18,0.680000000000001
267,价值,价格,4.41,3.73,0.68
55,愉快,精彩,3.23,2.55,0.68
139,罐,瓶子,3.21,2.55,0.66
115,皇帝,宪法,0.74,0.09,0.65
95,战斗,好斗,3.65,3,0.65
284,契约,协议,5.28,4.64,0.640000000000001
204,便条,作业,1.09,0.45,0.64
1,内疚,羞愧,4.99,4.36,0.63
73,准确地,积极地,1.26,0.64,0.62
327,地图,广场,0.88,0.27,0.61
458,走,发送,0.68,0.09,0.59
188,感觉,直觉,4.68,4.09,0.59
351,书,正文,3.12,2.55,0.57
81,准确地,精确地,6,5.45,0.55
137,合金,钢,4.36,3.82,0.540000000000001
289,朋友,宾客,3.72,3.18,0.54
71,理想地,实际地,0.72,0.18,0.54
283,意见,主意,4.26,3.73,0.53
443,找到,逃逸,0.52,0,0.52
431,驱逐,离开,2.88,2.36,0.52
170,章,选择,0.58,0.09,0.49
381,出席,到达,3.57,3.09,0.48
410,放开,按下,0.47,0,0.47
364,玩,搏斗,0.83,0.36,0.47
240,历史学家,史学家,6,5.55,0.45
120,幸福,悲伤,0.45,0,0.45
212,人,一分钱,0.45,0,0.45
311,传记,小说,3.08,2.64,0.44
11,开心,高兴,5.98,5.55,0.430000000000001
338,成年人,监护人,3.07,2.64,0.43
237,词,页,0.42,0,0.42
151,任务,女人,0.42,0,0.42
398,允许,反驳,0.38,0,0.38
330,门,门口,4.02,3.64,0.379999999999999
229,首词,句法,0.82,0.45,0.37
100,床,家俱,3.91,3.55,0.36
99,无穷,零,0.36,0,0.36
372,找到,消失,0.35,0,0.35
368,接受,原谅,2.89,2.55,0.34
232,公式,日志,0.34,0,0.34
406,收藏,保存,4.89,4.55,0.34
179,冠军,优胜者,5.88,5.55,0.33
471,加,除,0.77,0.45,0.32
386,逃跑,逃走,5.95,5.64,0.31
0,长,狭窄,0.56,0.27,0.29
411,担心,浪费,0.28,0,0.28
396,停,驾驶,0.35,0.09,0.26
30,笨,傻,5.52,5.27,0.25
270,逻辑,算术,2.33,2.09,0.24
273,云,窗口,0.24,0,0.24
161,客串角色,性能,0.31,0.09,0.22
9,坚硬,密度大,2.76,2.55,0.21
402,分析,评估,4.66,4.45,0.21
376,给,偷,0.57,0.36,0.21
33,奇怪,古怪,5.65,5.45,0.2
435,带来,抱怨,0.38,0.18,0.2
445,给,知道,0.2,0,0.2
34,灵活,松动,2.02,1.82,0.2
371,腐烂,毁灭,2.84,2.64,0.2
299,伞,暖炉,0.28,0.09,0.19
6,自豪,傲慢,3.08,2.91,0.17
36,大,柔韧,0.42,0.27,0.15
453,发射,发送,3.06,2.91,0.15
384,离开,参加,0.5,0.36,0.14
239,飞机场,片,0.14,0,0.14
45,难以置信,普通,0.13,0,0.13
49,轻松,强调,0.12,0,0.12
54,孩子气,傻,3.02,2.91,0.11
66,大声地,微妙地,0.1,0,0.1
461,提醒,卖,0.1,0,0.1
26,怪诞,奇怪,4.73,4.64,0.0900000000000007
403,出席,争论,0.27,0.18,0.09
2,暴力,被动,0.09,0,0.09
417,离开,留,0.26,0.18,0.08
333,大厦,雕塑家,0.08,0,0.08
102,肚子,卧室,0.06,0,0.06
160,缺席,在场,0.22,0.18,0.04
456,给,断绝亲子关系,0.02,0,0.02
14,和蔼,残酷,0.02,0,0.02
332,甲板,老鼠,0.02,0,0.02
323,律师,画廊,0.02,0,0.02
269,一分钱,尺寸,0.02,0,0.02
259,数学家,节目,0.02,0,0.02
335,王冠,锁匙,0.02,0,0.02
217,自行车,卧室,0.02,0,0.02
117,原木,沐浴,0.02,0,0.02
209,晚上,章节,0.02,0,0.02
196,课程,肚子,0.02,0,0.02
96,作曲家,作家,2.56,2.55,0.0100000000000002
359,提醒,忘记,0.37,0.36,0.01
419,创建,潜水,0,0,0
157,意外,书,0,0,0
63,和平地,混乱,0,0,0
4,害羞,昂贵,0,0,0
40,暴力,柔软,0,0,0
348,任务,稻草,0,0,0
241,篱笆,跳跃,0,0,0
92,香芹,松饼,0,0,0
174,踝,窗口,0,0,0
173,洞,协议,0,0,0
104,碗,尾巴,0,0,0
111,草,刀口,0,0,0
112,多面体,演员,0,0,0
125,周末,种族,0,0,0
448,拖着脚走,骑,0,0,0
132,薄荷,博物馆,0,0,0
23,弱,辣,0,0,0
150,公主,饼干,0,0,0
28,电动,甜,0,0,0
222,容器,老鼠,0,0,0
257,仆人,奴隶,3.31,3.36,-0.0499999999999998
377,咬,搏斗,1.68,1.73,-0.05
357,偷,购买,0.5,0.55,-0.05
19,不需要,必须,0.12,0.18,-0.06
142,汽车,软管,0.02,0.09,-0.07
343,键盘,光,0.02,0.09,-0.07
249,徽章,玻璃,0.02,0.09,-0.07
52,乱,清洁,0.02,0.09,-0.07
447,花费,节约,0.55,0.64,-0.09
156,续集,相机,0,0.09,-0.09
25,无知,频繁,0,0.09,-0.09
418,到达,离开,0.18,0.27,-0.09
395,羞辱,安慰,0.08,0.18,-0.1
65,显然,不显眼地,0.22,0.36,-0.14
46,尖,平滑,0.02,0.18,-0.16
425,同意,争论,0.18,0.36,-0.18
387,杀,防守,0.12,0.36,-0.24
247,烟草,香烟,4.52,4.82,-0.300000000000001
378,成功,失败,0.05,0.36,-0.31
78,死气沉沉的,高高兴兴地,0,0.36,-0.36
116,丰富,许多,3.78,4.18,-0.4
306,花朵,忍耐力,0.02,0.45,-0.43
91,自豪的,谦逊地,0,0.45,-0.45
423,运输,电梯,0.93,1.45,-0.52
190,洞,妻子,0,0.64,-0.64
355,失败,使气馁,2.34,3,-0.66
10,无实体,心灵,1.69,2.64,-0.95
89,有意义地,特别,1.92,3,-1.08
427,假设,预测,2.62,4.82,-2.2
