,word1,word2,pred_sl,pred_sd,act_sl,act_sd,pred_act_gap
87,紧张地,焦急地,5.0,0.0,3.82,1.56,1.1800000000000002
88,通常,很少地,1.27,0.46,0.36,1.26,0.91
89,有意义地,特别,1.93,0.26,3.0,1.89,-1.07
90,重要地,真实地,2.8,0.41,0.0,0.0,2.8
91,自豪的,谦逊地,0.0,0.0,0.45,0.85,-0.45
92,香芹,松饼,0.0,0.0,0.0,0.0,0.0
93,女儿,孩子,5.0,0.0,2.91,1.29,2.09
94,闪电攻击,攻击,4.33,0.49,3.45,1.58,0.8799999999999999
95,战斗,好斗,3.6,0.51,3.0,1.62,0.6000000000000001
96,作曲家,作家,2.13,0.52,2.55,1.77,-0.41999999999999993
97,主机板,主板,5.93,0.26,3.27,2.31,2.6599999999999997
98,船,车,2.13,0.52,0.36,0.48,1.77
99,无穷,零,0.27,0.46,0.0,0.0,0.27
100,床,家俱,3.73,0.59,3.55,1.26,0.18000000000000016
101,诗,韵律,2.87,0.35,0.36,0.32,2.5100000000000002
102,肚子,卧室,0.0,0.0,0.0,0.0,0.0
103,岩浆,火山,4.47,0.52,1.55,1.9,2.92
104,碗,尾巴,0.0,0.0,0.0,0.0,0.0
105,奖学金,学费,3.27,0.8,0.73,1.55,2.54
106,政治家,总统,4.27,0.46,3.09,1.7,1.1799999999999997
107,泡,肥皂泡沫,4.53,0.74,3.73,1.25,0.8000000000000003
108,节奏,旋律,4.0,0.53,3.64,1.52,0.3599999999999999
109,校园,大学,5.0,0.0,2.82,1.4,2.18
110,锡,金属,5.0,0.53,2.73,1.55,2.27
111,草,刀口,0.0,0.0,0.0,0.0,0.0
112,多面体,演员,0.0,0.0,0.0,0.0,0.0
113,日期,日历,4.8,0.41,2.73,1.83,2.07
114,门,走廊,2.6,0.51,0.36,0.42,2.24
115,皇帝,宪法,0.4,0.51,0.09,0.32,0.31000000000000005
116,丰富,许多,3.2,0.41,4.18,1.03,-0.9799999999999995
117,原木,沐浴,0.0,0.0,0.0,0.0,0.0
118,雨,薄雾,2.73,0.46,0.82,1.45,1.9100000000000001
119,苹果,柠檬,3.53,0.52,0.18,0.32,3.3499999999999996
120,幸福,悲伤,0.53,0.52,0.0,0.0,0.53
121,走道,大厅,3.0,0.0,0.18,0.32,2.82
122,红酒,酒,5.07,0.26,4.0,1.29,1.0700000000000003
123,导演,摄影,2.0,0.0,1.18,1.2,0.8200000000000001
124,老鹰,猎鹰,5.0,0.0,3.18,1.94,1.8199999999999998
125,周末,种族,0.0,0.0,0.0,0.0,0.0
126,书,圣经,3.73,0.46,2.36,1.35,1.37
127,财富,名誉,2.87,0.35,1.0,1.29,1.87
128,尾巴,后部,4.0,0.0,2.91,1.6,1.0899999999999999
129,手臂,骨头,2.6,0.51,0.45,0.84,2.15
130,海滩,暗礁,2.27,0.46,0.18,0.63,2.09
131,过道,走廊,5.4,0.51,4.27,1.42,1.1300000000000008
132,薄荷,博物馆,0.0,0.0,0.0,0.0,0.0
133,游戏,乐趣,4.0,0.0,0.45,0.85,3.55
134,枪,大炮,3.27,0.46,1.73,1.62,1.54
135,深度,大小,1.93,0.26,0.82,1.29,1.1099999999999999
136,作者,创造者,4.8,0.41,4.0,1.23,0.7999999999999998
137,合金,钢,4.07,0.26,3.82,1.14,0.25000000000000044
138,威士忌酒,杜松子酒,3.8,0.41,1.64,1.65,2.16
139,罐,瓶子,2.93,0.26,2.55,2.07,0.38000000000000034
140,报纸,资料,2.6,0.51,1.73,1.25,0.8700000000000001
141,航空,飞行,4.8,0.41,3.0,2.08,1.7999999999999998
142,汽车,软管,0.0,0.0,0.09,0.32,-0.09
143,募捐,发展,1.0,0.0,0.09,0.32,0.91
144,房间,大厦,2.0,0.0,0.18,0.42,1.82
145,树枝,手臂,3.0,0.0,0.09,0.32,2.91
146,法庭,正义,2.73,0.7,0.91,2.02,1.8199999999999998
147,女孩,小孩,5.0,0.0,2.91,1.63,2.09
148,雪,风暴,2.93,0.46,0.82,0.92,2.1100000000000003
149,音乐,旋律,4.6,0.51,3.64,1.49,0.9599999999999995
150,公主,饼干,0.0,0.0,0.0,0.0,0.0
151,任务,女人,0.53,0.52,0.0,0.0,0.53
152,猫,狮子,3.73,0.46,0.91,1.62,2.82
153,电影,剧院,2.73,0.46,1.91,1.94,0.8200000000000001
154,态度,自信,3.2,0.77,1.27,1.16,1.9300000000000002
155,老师,教练,4.07,0.26,2.27,1.51,1.8000000000000003
156,续集,相机,0.0,0.0,0.09,0.32,-0.09
157,意外,书,0.0,0.0,0.0,0.0,0.0
158,文章,杂志,4.27,0.59,2.09,1.4,2.1799999999999997
159,母鸡,火鸡,3.27,0.46,2.27,1.62,1.0
160,缺席,在场,0.53,0.52,0.18,0.32,0.35000000000000003
161,客串角色,性能,0.4,0.51,0.09,0.32,0.31000000000000005
162,便士,便宜货,2.07,0.46,0.09,0.32,1.9799999999999998
163,床,医院,1.8,0.41,0.45,0.67,1.35
164,牛,山羊,4.13,0.35,0.45,0.7,3.6799999999999997
165,血液,骨髓,3.73,0.59,0.36,0.97,3.37
166,足球,英式足球,5.67,0.49,4.27,1.62,1.4000000000000004
167,尖顶,教堂,2.87,0.35,0.73,1.26,2.14
168,木,原木,4.8,0.41,4.18,1.6,0.6200000000000001
169,车,高速公路,1.53,0.52,0.09,0.32,1.44
170,章,选择,0.47,0.52,0.09,0.32,0.38
171,幸福,和平,2.8,0.41,2.27,1.58,0.5299999999999998
172,喷嘴,流体,3.13,0.74,0.0,0.0,3.13
173,洞,协议,0.0,0.0,0.0,0.0,0.0
174,踝,窗口,0.0,0.0,0.0,0.0,0.0
175,早餐,培根,3.13,0.64,0.45,0.71,2.6799999999999997
176,小说,作家,3.67,0.49,0.09,0.32,3.58
177,病人,复诊,4.0,0.65,0.36,0.84,3.64
178,大灾变,火,2.2,0.56,0.82,1.57,1.3800000000000003
179,冠军,优胜者,5.73,0.46,5.55,0.53,0.1800000000000006
180,侵略,敌意,4.27,0.7,1.64,1.58,2.63
181,协议,条件,2.4,0.63,2.27,1.62,0.1299999999999999
182,滑雪板,滑雪,4.53,0.52,1.45,1.72,3.08
183,工作者,雇主,1.87,0.35,0.27,0.67,1.6
184,蔗糖,糖类,4.93,0.26,3.36,1.71,1.5699999999999998
185,洗手间,厨房,1.87,0.52,0.18,0.63,1.6900000000000002
186,帮手,女仆,4.0,0.38,2.55,1.34,1.4500000000000002
187,士兵,和平,1.0,0.0,0.09,0.32,0.91
188,感觉,直觉,4.8,0.41,4.09,1.25,0.71
189,子程序,编译器,1.8,0.41,0.73,1.48,1.07
190,洞,妻子,0.0,0.0,0.64,1.89,-0.64
191,狗,马,1.93,0.26,0.82,1.25,1.1099999999999999
192,乐队,管弦乐队,4.93,0.26,3.91,1.29,1.0199999999999996
193,衣服,外套,4.93,0.26,3.27,1.34,1.6599999999999997
194,荣誉,敬重,4.0,0.0,0.64,1.49,3.36
195,谷,凹地,4.6,0.51,2.45,2.37,2.1499999999999995
196,课程,肚子,0.07,0.26,0.0,0.0,0.07
197,天神,魔鬼,1.47,0.52,0.09,0.32,1.38
198,身体,脊柱,4.2,0.41,1.36,1.35,2.84
199,规则,惯例,4.8,0.41,2.55,0.97,2.25
200,苍蝇,蚂蚁,3.13,0.52,0.64,1.07,2.4899999999999998
201,骨头,牙齿,3.27,0.46,0.64,0.97,2.63
202,力量,能力,4.93,0.26,2.91,1.29,2.0199999999999996
203,床,毯子,2.0,0.0,0.09,0.32,1.91
204,便条,作业,1.07,0.26,0.45,1.58,0.6200000000000001
205,汽车,货车,4.27,0.46,2.82,1.52,1.4499999999999997
206,身体,胸部,5.0,0.0,2.0,1.29,3.0
207,商业,工业,3.93,0.26,0.91,1.45,3.02
208,肾,器官,5.13,0.35,4.36,1.06,0.7699999999999996
209,晚上,章节,0.07,0.26,0.0,0.0,0.07
210,大麻,草药,3.47,0.52,2.64,1.26,0.8300000000000001
211,重新安葬,坟墓,3.07,0.26,0.64,0.82,2.4299999999999997
212,人,一分钱,0.87,0.35,0.0,0.0,0.87
213,恶意软件,蠕虫,4.87,0.35,0.91,1.63,3.96
214,人物,人,4.73,0.59,4.27,1.77,0.46000000000000085
215,爆玉米花,电影,2.47,0.52,0.45,0.97,2.02
216,蝴蝶,玫瑰,1.6,0.51,0.55,1.9,1.05
217,自行车,卧室,0.0,0.0,0.0,0.0,0.0
218,鸵鸟,果园,1.0,0.0,0.0,0.0,1.0
219,蜥蜴,鳄鱼,3.67,0.49,0.45,0.97,3.2199999999999998
220,河流,大海,4.53,0.52,2.09,1.37,2.4400000000000004
221,领导,经理,5.0,0.0,2.0,0.99,3.0
222,容器,老鼠,0.0,0.0,0.0,0.0,0.0
223,司机,飞行员,3.13,0.35,1.45,1.78,1.68
224,检察官,律师,4.8,0.41,1.55,1.51,3.25
225,眉头,眼睛,3.67,0.49,0.55,0.84,3.12
226,米,码,4.67,0.49,2.27,2.11,2.4
227,队长,水手,2.73,0.59,0.09,0.32,2.64
228,工人,机械师,3.87,0.35,2.36,1.18,1.5100000000000002
229,首词,句法,0.87,0.35,0.45,0.67,0.42
230,海军,军队,5.0,0.0,3.82,1.48,1.1800000000000002
231,车,出租车,4.73,0.46,3.45,0.95,1.2800000000000002
232,公式,日志,0.27,0.46,0.0,0.0,0.27
233,飞机,机场,2.8,0.56,1.09,1.41,1.7099999999999997
234,云,薄雾,4.07,0.46,2.91,1.15,1.1600000000000001
235,密码,标志,0.87,0.35,0.09,0.32,0.78
236,手臂,脖子,3.33,0.62,0.18,0.32,3.15
237,词,页,0.2,0.41,0.0,0.0,0.2
238,航空电子学,航空学,4.67,0.49,3.09,1.25,1.58
239,飞机场,片,0.0,0.0,0.0,0.0,0.0
240,历史学家,史学家,6.0,0.0,5.55,0.71,0.4500000000000002
241,篱笆,跳跃,0.0,0.0,0.0,0.0,0.0
242,后世,炼狱,1.0,0.0,0.09,0.32,0.91
243,电动机,发动机,5.0,0.0,2.45,1.08,2.55
244,猫,兔子,2.8,0.41,0.55,0.84,2.25
245,蜜蜂,蚂蚁,3.87,0.35,0.45,0.48,3.42
246,暴民,人群,2.93,0.59,0.91,0.92,2.02
247,烟草,香烟,4.53,0.52,4.82,0.74,-0.29000000000000004
248,花,灌木,3.07,0.59,0.64,0.95,2.4299999999999997
249,徽章,玻璃,0.0,0.0,0.09,0.32,-0.09
250,鼻子,嘴巴,2.53,0.64,0.09,0.32,2.44
251,环球航行,行李,1.0,0.0,0.0,0.0,1.0
252,智力,洞察力,4.47,0.52,2.36,1.49,2.11
253,手,脚,3.4,0.51,0.45,0.84,2.9499999999999997
254,风尚,时装,3.87,0.35,2.45,1.58,1.42
255,证明,事实,4.13,0.83,0.82,1.66,3.31
256,生物学家,显微镜,1.87,0.35,0.18,0.42,1.6900000000000002
257,仆人,奴隶,3.2,0.56,3.36,0.97,-0.1599999999999997
258,肌肉,舌头,2.13,0.35,0.36,0.52,1.77
259,数学家,节目,0.0,0.0,0.0,0.0,0.0
260,代码,符号,3.93,0.59,2.91,1.52,1.02
261,乳制品,蜜糖,1.53,0.52,0.36,0.95,1.17
262,雪,冰,4.93,0.26,2.55,2.12,2.38
263,酒,白兰地酒,4.8,0.41,3.64,1.43,1.1599999999999997
264,价值观,信念,5.0,0.0,3.55,1.78,1.4500000000000002
265,雪,天气,2.73,0.46,1.73,1.43,1.0
266,手指,手掌,4.0,0.0,1.82,1.77,2.1799999999999997
267,价值,价格,4.27,0.46,3.73,1.03,0.5399999999999996
268,秒,分钟,3.53,0.52,2.09,1.75,1.44
269,一分钱,尺寸,0.0,0.0,0.0,0.0,0.0
270,逻辑,算术,2.2,0.41,2.09,1.63,0.11000000000000032
271,牛,家牛,6.0,0.0,3.55,1.07,2.45
272,人群,束,0.93,0.26,0.0,0.0,0.93
273,云,窗口,0.27,0.46,0.0,0.0,0.27
274,大主教,主教,5.0,0.0,4.27,0.92,0.7300000000000004
275,世纪,年,3.6,0.51,2.0,1.7,1.6
276,行动,课程,1.13,0.35,0.36,0.7,0.7699999999999999
277,身体,肚子,4.13,0.35,1.73,1.57,2.4
278,暴风雨,飓风,5.0,0.0,2.64,1.51,2.36
279,指甲,手,2.6,0.51,0.55,0.7,2.05
280,衣服,壁橱,1.87,0.52,0.55,1.07,1.32
281,男孩,孩子,5.0,0.0,3.36,1.26,1.6400000000000001
282,大气层,臭氧,3.2,0.41,2.64,1.07,0.56
283,意见,主意,4.2,0.41,3.73,1.69,0.4700000000000002
284,契约,协议,5.0,0.38,4.64,0.92,0.3600000000000003
285,磁盘,电脑,2.2,0.41,0.55,0.71,1.6500000000000001
286,晚餐,汤,2.6,0.51,0.45,1.27,2.15
287,水,盐,1.0,0.0,0.36,0.7,0.64
288,男人,嫌疑人,1.93,0.26,0.55,0.85,1.38
289,朋友,宾客,3.87,0.35,3.18,1.7,0.69
290,衣服,布料,4.27,0.8,1.45,1.58,2.8199999999999994
291,家伙,帅哥,2.93,0.46,0.82,1.1,2.1100000000000003
292,吉他,鼓,2.07,0.26,0.36,0.7,1.71
293,歌剧,电影,2.6,0.51,0.91,1.49,1.69
294,海军,岛,1.0,0.0,0.09,0.32,0.91
295,大自然,植物群,3.87,0.64,1.82,1.81,2.05
296,犯罪,违反,4.93,0.26,3.45,0.84,1.4799999999999995
297,橡木,枫木,4.93,0.26,2.36,1.64,2.57
298,蝙蝠,吸血鬼,2.47,0.52,0.55,0.85,1.9200000000000002
299,伞,暖炉,0.53,0.52,0.09,0.32,0.44000000000000006
300,财富,声望,2.4,0.51,0.64,1.57,1.7599999999999998
301,生日,日期,3.13,0.52,1.45,0.71,1.68
302,副驾驶,座舱,3.4,0.63,0.64,1.25,2.76
303,传感器,散热器,1.27,0.46,0.36,0.7,0.91
304,学校,年级,3.0,0.53,1.09,1.29,1.91
305,歌曲,演员,1.47,0.52,0.36,0.97,1.1099999999999999
306,花朵,忍耐力,0.0,0.0,0.45,1.58,-0.45
307,面包,小麦粉,4.27,0.46,1.73,1.43,2.5399999999999996
308,昆虫,蜜蜂,4.87,0.35,3.0,1.75,1.87
309,喇叭,鼓,2.07,0.26,0.09,0.32,1.9799999999999998
310,心情,情感,5.13,0.35,3.18,1.62,1.9499999999999997
311,传记,小说,3.27,0.59,2.64,1.35,0.6299999999999999
312,活塞,发动机,3.93,0.7,1.18,1.23,2.75
313,人口,人,4.87,0.35,2.55,1.65,2.3200000000000003
314,飞机,喷气式飞机,5.07,0.26,3.55,1.96,1.5200000000000005
315,容器,静脉,1.4,0.51,0.0,0.0,1.4
316,地板,甲板,3.07,0.46,2.36,1.57,0.71
317,南,北,1.67,0.62,0.18,0.32,1.49
318,纱,线,3.4,0.63,1.45,1.35,1.95
319,房间,单身牢房,3.2,0.68,2.27,1.93,0.9300000000000002
320,下面,侧面,2.13,0.35,0.18,0.42,1.95
321,公司,企业,5.47,0.52,4.64,0.82,0.8300000000000001
322,音节,词元,2.8,0.56,1.0,1.37,1.7999999999999998
323,律师,画廊,0.0,0.0,0.0,0.0,0.0
324,男人,武士,3.0,0.38,0.55,0.7,2.45
325,城镇,城市,4.93,0.26,3.82,1.57,1.1099999999999999
326,蛇,蜥蜴,3.8,0.41,0.91,1.62,2.8899999999999997
327,地图,广场,1.0,0.0,0.27,0.63,0.73
328,锡,铝,3.93,0.26,0.73,1.62,3.2
329,水平,得分,2.0,0.38,0.73,1.48,1.27
330,门,门口,3.93,0.26,3.64,1.78,0.29000000000000004
331,指甲,拇指,1.93,0.26,0.45,1.08,1.48
332,甲板,老鼠,0.0,0.0,0.0,0.0,0.0
333,大厦,雕塑家,0.0,0.0,0.0,0.0,0.0
334,单身牢房,锁起来,2.07,0.46,1.09,1.76,0.9799999999999998
335,王冠,锁匙,0.0,0.0,0.0,0.0,0.0
336,电线,软线,4.2,0.41,1.18,1.32,3.0200000000000005
337,图表,图解,5.4,0.51,3.18,1.14,2.22
338,成年人,监护人,3.0,0.0,2.64,1.89,0.3599999999999999
339,翻译者,外国人,1.07,0.26,0.36,0.67,0.7100000000000001
340,月亮,行星,3.07,0.7,2.73,2.04,0.33999999999999986
341,歌谣,歌曲,5.0,0.0,3.09,1.2,1.9100000000000001
342,钱包,袋,3.2,0.41,0.91,0.94,2.29
343,键盘,光,0.0,0.0,0.09,0.32,-0.09
344,冬天,夏天,1.33,0.49,0.09,0.32,1.24
345,菜单,点菜,3.67,0.62,1.45,1.34,2.2199999999999998
346,血液,肉,2.13,0.35,0.36,0.67,1.77
347,新娘,公主,2.13,0.35,0.18,0.42,1.95
348,任务,稻草,0.0,0.0,0.0,0.0,0.0
349,裁判官,法官,5.0,0.0,3.55,1.49,1.4500000000000002
350,分界线,国境,4.27,0.7,3.18,1.45,1.0899999999999994
351,书,正文,2.93,0.26,2.55,1.51,0.38000000000000034
352,癌症,疾病,5.6,0.51,3.91,1.4,1.6899999999999995
353,优雅,风格,3.53,0.52,1.82,1.29,1.7099999999999997
354,星,明亮,1.67,0.49,0.27,0.67,1.4
355,失败,使气馁,1.93,0.59,3.0,1.75,-1.07
356,掩盖,保护,3.0,0.53,1.18,1.77,1.82
357,偷,购买,0.73,0.46,0.55,0.97,0.17999999999999994
358,说话,低语,4.93,0.26,3.0,1.1,1.9299999999999997
359,提醒,忘记,0.47,0.52,0.36,0.84,0.10999999999999999
360,问,求情,2.0,0.0,0.27,0.67,1.73
361,听,听见,5.6,0.51,4.27,1.57,1.33
362,侮辱,得罪,4.07,0.46,2.82,1.45,1.2500000000000004
363,完成,毕业,4.6,0.63,2.36,1.57,2.2399999999999998
364,玩,搏斗,1.0,0.0,0.36,0.52,0.64
365,搜索,看,2.73,0.46,1.09,1.23,1.64
366,告诉,提醒,4.07,0.26,2.91,1.32,1.1600000000000001
367,攻击,加剧,2.0,0.38,0.36,0.84,1.6400000000000001
368,接受,原谅,2.73,0.46,2.55,1.06,0.18000000000000016
369,创建,做,4.07,0.46,0.82,1.1,3.2500000000000004
370,戏弄,伤害,2.2,0.41,0.64,1.06,1.56
371,腐烂,毁灭,2.8,0.41,2.64,1.2,0.1599999999999997
372,找到,消失,0.53,0.52,0.0,0.0,0.53
373,断绝亲子关系,疏忽,1.33,0.49,0.0,0.0,1.33
374,记得,想,3.8,0.56,0.36,1.26,3.44
375,接受,承认,4.93,0.26,3.27,1.72,1.6599999999999997
376,给,偷,0.8,0.41,0.36,0.84,0.44000000000000006
377,咬,搏斗,1.93,0.26,1.73,1.48,0.19999999999999996
378,成功,失败,0.0,0.0,0.36,0.84,-0.36
379,说谎,装作,3.6,0.51,2.27,1.78,1.33
380,聚集,收集,4.53,0.52,2.73,1.97,1.8000000000000003
381,出席,到达,3.47,0.52,3.09,1.7,0.38000000000000034
382,做,戒除,0.93,0.26,0.0,0.0,0.93
383,批评,讨厌,2.07,0.26,0.45,0.48,1.6199999999999999
384,离开,参加,0.93,0.26,0.36,0.84,0.5700000000000001
385,搜索,狩猎,3.13,0.35,0.73,1.14,2.4
386,逃跑,逃走,5.87,0.35,5.64,0.42,0.23000000000000043
387,杀,防守,0.0,0.0,0.36,0.84,-0.36
388,打,吸引,1.0,0.0,0.0,0.0,1.0
389,使心烦,受伤,1.93,0.26,0.09,0.32,1.8399999999999999
390,讨论,说明,3.47,0.52,2.0,1.25,1.4700000000000002
391,忽略,避免,2.93,0.26,0.0,0.0,2.93
392,使灰心,使气馁,5.87,0.35,4.73,1.1,1.1399999999999997
393,追求,说服,1.8,0.41,0.18,0.42,1.62
394,离开,徘徊,1.07,0.26,0.09,0.32,0.9800000000000001
395,羞辱,安慰,0.07,0.26,0.18,0.42,-0.10999999999999999
396,停,驾驶,0.4,0.51,0.09,0.32,0.31000000000000005
397,傻笑,大笑,3.87,0.52,3.09,1.52,0.7800000000000002
398,允许,反驳,0.53,0.52,0.0,0.0,0.53
399,搜索,查询,4.73,0.46,3.91,0.92,0.8200000000000003
400,离开,忽略,2.0,0.0,0.36,0.97,1.6400000000000001
401,分数,评分,4.47,0.52,2.91,1.76,1.5599999999999996
402,分析,评估,4.6,0.51,4.45,1.17,0.14999999999999947
403,出席,争论,0.27,0.46,0.18,0.42,0.09000000000000002
404,步行,站立,1.33,0.49,0.36,0.7,0.9700000000000001
405,混合,溶解,3.2,0.41,0.55,0.84,2.6500000000000004
406,收藏,保存,5.0,0.0,4.55,1.17,0.4500000000000002
407,拿,交付,2.07,0.26,0.18,0.42,1.89
408,做,赚,2.27,0.59,0.36,0.84,1.9100000000000001
409,捏,用拳猛击,1.13,0.35,0.36,0.84,0.7699999999999999
410,放开,按下,0.47,0.52,0.0,0.0,0.47
411,担心,浪费,0.33,0.49,0.0,0.0,0.33
412,知道,理解,4.73,0.46,3.82,0.94,0.9100000000000006
413,选择,挑选,5.87,0.35,3.55,1.71,2.3200000000000003
414,了解,原谅,1.87,0.35,0.64,0.95,1.23
415,借,乞求,2.47,0.64,1.09,1.81,1.3800000000000001
416,拿,拥有,3.0,0.53,0.36,0.97,2.64
417,离开,留,0.2,0.41,0.18,0.63,0.020000000000000018
418,到达,离开,0.07,0.26,0.27,0.95,-0.2
419,创建,潜水,0.0,0.0,0.0,0.0,0.0
420,享受,娱乐,4.0,0.0,1.0,1.45,3.0
421,建议,劝告,5.0,0.0,2.91,1.89,2.09
422,编织,移动,1.27,0.46,0.0,0.0,1.27
423,运输,电梯,1.07,0.26,1.45,1.57,-0.3799999999999999
424,留,保留,5.33,0.49,3.64,1.55,1.69
425,同意,争论,0.13,0.35,0.36,0.84,-0.22999999999999998
426,选择,选举,4.6,0.51,2.73,1.75,1.8699999999999997
427,假设,预测,2.4,0.51,4.82,0.42,-2.4200000000000004
428,欲望,想要,4.87,0.64,4.18,0.82,0.6900000000000004
429,赦免,原谅,5.13,0.35,3.82,1.76,1.31
430,啜,大口地吃,2.73,0.88,0.36,0.7,2.37
431,驱逐,离开,2.67,0.49,2.36,1.69,0.31000000000000005
432,坠落,伤害,1.27,0.46,0.55,1.35,0.72
433,成功,尝试,2.13,0.52,0.27,0.95,1.8599999999999999
434,承诺,发誓,4.87,0.35,3.91,1.66,0.96
435,带来,抱怨,0.2,0.41,0.18,0.42,0.020000000000000018
436,成长,增加,3.93,0.26,0.91,1.49,3.02
