,word1,word2,avg_pred_sl,avg_act_sl,avg_pred_act_gap
167,尖顶,教堂,2.49,0.73,1.7600000000000002
198,身体,脊柱,3.11,1.36,1.7499999999999998
285,磁盘,电脑,2.28,0.55,1.7299999999999998
87,紧张地,焦急地,5.52,3.82,1.6999999999999997
223,司机,飞行员,3.14,1.45,1.6900000000000002
105,奖学金,学费,2.42,0.73,1.69
166,足球,英式足球,5.95,4.27,1.6800000000000006
355,失败,使气馁,4.68,3.0,1.6799999999999997
152,猫,狮子,2.56,0.91,1.65
35,强大,强大,6.0,4.36,1.6399999999999997
165,血液,骨髓,1.98,0.36,1.62
204,便条,作业,2.06,0.45,1.61
300,财富,声望,2.24,0.64,1.6
246,暴民,人群,2.51,0.91,1.5999999999999996
309,喇叭,鼓,1.68,0.09,1.5899999999999999
1,内疚,羞愧,5.93,4.36,1.5699999999999994
42,非法,不道德,3.74,2.18,1.56
110,锡,金属,4.28,2.73,1.5500000000000003
365,搜索,看,2.64,1.09,1.55
138,威士忌酒,杜松子酒,3.19,1.64,1.55
162,便士,便宜货,1.62,0.09,1.53
455,抖动,搅拌,3.41,1.91,1.5000000000000002
39,显著的,明显,5.68,4.18,1.5
442,降低,减少,5.31,3.82,1.4899999999999998
43,严酷,残酷,5.75,4.27,1.4800000000000004
322,音节,词元,2.48,1.0,1.48
108,节奏,旋律,5.12,3.64,1.48
207,商业,工业,2.38,0.91,1.4699999999999998
252,智力,洞察力,3.82,2.36,1.46
324,男人,武士,2.01,0.55,1.4599999999999997
85,极其,非常,6.0,4.55,1.4500000000000002
155,老师,教练,3.68,2.27,1.4100000000000001
383,批评,讨厌,1.86,0.45,1.4100000000000001
185,洗手间,厨房,1.58,0.18,1.4000000000000001
318,纱,线,2.84,1.45,1.39
402,分析,评估,5.83,4.45,1.38
262,雪,冰,3.92,2.55,1.37
453,发射,发送,4.26,2.91,1.3499999999999996
211,重新安葬,坟墓,1.96,0.64,1.3199999999999998
429,赦免,原谅,5.13,3.82,1.31
163,床,医院,1.76,0.45,1.31
243,电动机,发动机,3.76,2.45,1.3099999999999996
428,欲望,想要,5.48,4.18,1.3000000000000007
366,告诉,提醒,4.21,2.91,1.2999999999999998
352,癌症,疾病,5.21,3.91,1.2999999999999998
128,尾巴,后部,4.19,2.91,1.2800000000000002
347,新娘,公主,1.46,0.18,1.28
312,活塞,发动机,2.46,1.18,1.28
392,使灰心,使气馁,6.0,4.73,1.2699999999999996
34,灵活,松动,3.06,1.82,1.24
248,花,灌木,1.87,0.64,1.23
176,小说,作家,1.3,0.09,1.21
116,丰富,许多,5.38,4.18,1.2000000000000002
79,稍微地,大致,3.19,2.0,1.19
399,搜索,查询,5.09,3.91,1.1799999999999997
301,生日,日期,2.62,1.45,1.1700000000000002
134,枪,大炮,2.86,1.73,1.13
206,身体,胸部,3.11,2.0,1.1099999999999999
412,知道,理解,4.92,3.82,1.1
7,愉快,快乐,6.0,4.91,1.0899999999999999
61,仁慈地,温和地,4.44,3.36,1.0800000000000005
260,代码,符号,3.99,2.91,1.08
130,海滩,暗礁,1.26,0.18,1.08
353,优雅,风格,2.89,1.82,1.07
93,女儿,孩子,3.94,2.91,1.0299999999999998
391,忽略,避免,1.02,0.0,1.02
29,婚外,不可說出口的,2.72,1.73,0.9900000000000002
139,罐,瓶子,3.54,2.55,0.9900000000000002
439,聚集,见面,1.62,0.64,0.9800000000000001
292,吉他,鼓,1.31,0.36,0.9500000000000001
283,意见,主意,4.68,3.73,0.9499999999999997
31,个人,私人,5.21,4.27,0.9400000000000004
277,身体,肚子,2.66,1.73,0.9300000000000002
205,汽车,货车,3.74,2.82,0.9200000000000004
467,离开,走开,5.01,4.09,0.9199999999999999
220,河流,大海,2.98,2.09,0.8900000000000001
64,好心地,仁慈地,5.52,4.64,0.8799999999999999
377,咬,搏斗,2.61,1.73,0.8799999999999999
10,无实体,心灵,3.51,2.64,0.8699999999999997
457,参与,加入,5.04,4.18,0.8600000000000003
67,异常,奇怪地,4.58,3.73,0.8500000000000001
328,锡,铝,1.58,0.73,0.8500000000000001
284,契约,协议,5.48,4.64,0.8400000000000007
186,帮手,女仆,3.39,2.55,0.8400000000000003
275,世纪,年,2.81,2.0,0.81
228,工人,机械师,3.17,2.36,0.81
460,发光,照耀,4.54,3.73,0.81
310,心情,情感,3.98,3.18,0.7999999999999998
270,逻辑,算术,2.88,2.09,0.79
113,日期,日历,3.51,2.73,0.7799999999999998
302,副驾驶,座舱,1.41,0.64,0.7699999999999999
433,成功,尝试,1.03,0.27,0.76
53,新,新鲜,4.76,4.0,0.7599999999999998
278,暴风雨,飓风,3.39,2.64,0.75
146,法庭,正义,1.66,0.91,0.7499999999999999
470,跟随,追逐,3.56,2.82,0.7400000000000002
149,音乐,旋律,4.38,3.64,0.7399999999999998
72,通常,日常,3.92,3.18,0.7399999999999998
129,手臂,骨头,1.18,0.45,0.73
114,门,走廊,1.07,0.36,0.7100000000000001
143,募捐,发展,0.8,0.09,0.7100000000000001
320,下面,侧面,0.89,0.18,0.71
100,床,家俱,4.26,3.55,0.71
281,男孩,孩子,4.04,3.36,0.6800000000000002
121,走道,大厅,0.86,0.18,0.6799999999999999
268,秒,分钟,2.76,2.09,0.6699999999999999
255,证明,事实,1.48,0.82,0.66
393,追求,说服,0.84,0.18,0.6599999999999999
98,船,车,1.01,0.36,0.65
233,飞机,机场,1.72,1.09,0.6299999999999999
315,容器,静脉,0.62,0.0,0.62
265,雪,天气,2.33,1.73,0.6000000000000001
271,牛,家牛,4.12,3.55,0.5700000000000003
142,汽车,软管,0.66,0.09,0.5700000000000001
462,争论,叫喊,1.66,1.09,0.5699999999999998
264,价值观,信念,4.11,3.55,0.5600000000000005
426,选择,选举,3.29,2.73,0.56
6,自豪,傲慢,3.47,2.91,0.56
118,雨,薄雾,1.38,0.82,0.5599999999999999
238,航空电子学,航空学,3.64,3.09,0.5500000000000003
226,米,码,2.82,2.27,0.5499999999999998
81,准确地,精确地,6.0,5.45,0.5499999999999998
154,态度,自信,1.81,1.27,0.54
214,人物,人,4.81,4.27,0.54
144,房间,大厦,0.71,0.18,0.53
400,离开,忽略,0.89,0.36,0.53
12,开心,疯狂,1.44,0.91,0.5299999999999999
451,知道,相信,1.44,0.91,0.5299999999999999
184,蔗糖,糖类,3.88,3.36,0.52
397,傻笑,大笑,3.58,3.09,0.4900000000000002
94,闪电攻击,攻击,3.94,3.45,0.48999999999999977
331,指甲,拇指,0.93,0.45,0.48000000000000004
147,女孩,小孩,3.38,2.91,0.46999999999999975
32,瘦,苗条,4.92,4.45,0.46999999999999975
107,泡,肥皂泡沫,4.19,3.73,0.4600000000000004
11,开心,高兴,6.0,5.55,0.4500000000000002
240,历史学家,史学家,6.0,5.55,0.4500000000000002
181,协议,条件,2.72,2.27,0.4500000000000002
179,冠军,优胜者,6.0,5.55,0.4500000000000002
210,大麻,草药,3.08,2.64,0.43999999999999995
294,海军,岛,0.52,0.09,0.43000000000000005
299,伞,暖炉,0.51,0.09,0.42000000000000004
304,学校,年级,1.51,1.09,0.41999999999999993
319,房间,单身牢房,2.66,2.27,0.3900000000000001
140,报纸,资料,2.12,1.73,0.3900000000000001
432,坠落,伤害,0.94,0.55,0.3899999999999999
5,不同,正常,0.38,0.0,0.38
466,做,发生,0.38,0.0,0.38
454,竞争,完成,0.38,0.0,0.38
335,王冠,锁匙,0.38,0.0,0.38
406,收藏,保存,4.93,4.55,0.3799999999999999
386,逃跑,逃走,6.0,5.64,0.3600000000000003
136,作者,创造者,4.36,4.0,0.3600000000000003
254,风尚,时装,2.81,2.45,0.3599999999999999
16,坏,平庸,0.44,0.09,0.35
208,肾,器官,4.71,4.36,0.34999999999999964
379,说谎,装作,2.61,2.27,0.33999999999999986
188,感觉,直觉,4.42,4.09,0.33000000000000007
362,侮辱,得罪,3.14,2.82,0.3200000000000003
389,使心烦,受伤,0.41,0.09,0.31999999999999995
169,车,高速公路,0.41,0.09,0.31999999999999995
159,母鸡,火鸡,2.59,2.27,0.31999999999999984
192,乐队,管弦乐队,4.21,3.91,0.2999999999999998
38,粘人,缺乏信心,0.38,0.09,0.29000000000000004
244,猫,兔子,0.84,0.55,0.2899999999999999
234,云,薄雾,3.19,2.91,0.2799999999999998
2,暴力,被动,0.27,0.0,0.27
68,谨慎地,有礼貌地,0.91,0.64,0.27
321,公司,企业,4.9,4.64,0.2600000000000007
363,完成,毕业,2.62,2.36,0.26000000000000023
193,衣服,外套,3.52,3.27,0.25
390,讨论,说明,2.24,2.0,0.2400000000000002
0,长,狭窄,0.5,0.27,0.22999999999999998
33,奇怪,古怪,5.68,5.45,0.22999999999999954
127,财富,名誉,1.22,1.0,0.21999999999999997
26,怪诞,奇怪,4.84,4.64,0.20000000000000018
37,脆弱,简单,0.38,0.18,0.2
41,害怕,急,0.38,0.18,0.2
407,拿,交付,0.38,0.18,0.2
348,任务,稻草,0.2,0.0,0.2
409,捏,用拳猛击,0.54,0.36,0.18000000000000005
151,任务,女人,0.18,0.0,0.18
298,蝙蝠,吸血鬼,0.73,0.55,0.17999999999999994
438,敬礼,演出,0.17,0.0,0.17
305,歌曲,演员,0.51,0.36,0.15000000000000002
303,传感器,散热器,0.51,0.36,0.15000000000000002
54,孩子气,傻,3.06,2.91,0.1499999999999999
307,面包,小麦粉,1.88,1.73,0.1499999999999999
131,过道,走廊,4.41,4.27,0.14000000000000057
288,男人,嫌疑人,0.68,0.55,0.13
343,键盘,光,0.2,0.09,0.11000000000000001
465,控制,停止,0.38,0.27,0.10999999999999999
183,工作者,雇主,0.38,0.27,0.10999999999999999
443,找到,逃逸,0.09,0.0,0.09
173,洞,协议,0.09,0.0,0.09
448,拖着脚走,骑,0.09,0.0,0.09
445,给,知道,0.09,0.0,0.09
394,离开,徘徊,0.18,0.09,0.09
123,导演,摄影,1.26,1.18,0.08000000000000007
411,担心,浪费,0.05,0.0,0.05
371,腐烂,毁灭,2.69,2.64,0.04999999999999982
290,衣服,布料,1.49,1.45,0.040000000000000036
109,校园,大学,2.85,2.82,0.03000000000000025
381,出席,到达,3.12,3.09,0.03000000000000025
404,步行,站立,0.38,0.36,0.020000000000000018
408,做,赚,0.38,0.36,0.020000000000000018
339,翻译者,外国人,0.38,0.36,0.020000000000000018
174,踝,窗口,0.02,0.0,0.02
430,啜,大口地吃,0.37,0.36,0.010000000000000009
21,自由,无辜,0.1,0.09,0.010000000000000009
344,冬天,夏天,0.1,0.09,0.010000000000000009
49,轻松,强调,0.0,0.0,0.0
259,数学家,节目,0.0,0.0,0.0
237,词,页,0.0,0.0,0.0
56,旧,杂,0.0,0.0,0.0
422,编织,移动,0.0,0.0,0.0
132,薄荷,博物馆,0.0,0.0,0.0
196,课程,肚子,0.0,0.0,0.0
332,甲板,老鼠,0.0,0.0,0.0
92,香芹,松饼,0.0,0.0,0.0
232,公式,日志,0.0,0.0,0.0
51,闻名,国民,0.0,0.0,0.0
14,和蔼,残酷,0.0,0.0,0.0
382,做,戒除,0.0,0.0,0.0
410,放开,按下,0.0,0.0,0.0
333,大厦,雕塑家,0.0,0.0,0.0
125,周末,种族,0.0,0.0,0.0
373,断绝亲子关系,疏忽,0.0,0.0,0.0
99,无穷,零,0.0,0.0,0.0
112,多面体,演员,0.0,0.0,0.0
251,环球航行,行李,0.0,0.0,0.0
45,难以置信,普通,0.0,0.0,0.0
104,碗,尾巴,0.0,0.0,0.0
102,肚子,卧室,0.0,0.0,0.0
4,害羞,昂贵,0.0,0.0,0.0
117,原木,沐浴,0.0,0.0,0.0
63,和平地,混乱,0.0,0.0,0.0
120,幸福,悲伤,0.0,0.0,0.0
241,篱笆,跳跃,0.0,0.0,0.0
372,找到,消失,0.0,0.0,0.0
40,暴力,柔软,0.0,0.0,0.0
239,飞机场,片,0.0,0.0,0.0
58,普通,冷,0.0,0.0,0.0
323,律师,画廊,0.0,0.0,0.0
150,公主,饼干,0.0,0.0,0.0
90,重要地,真实地,0.0,0.0,0.0
398,允许,反驳,0.0,0.0,0.0
23,弱,辣,0.0,0.0,0.0
461,提醒,卖,0.0,0.0,0.0
209,晚上,章节,0.0,0.0,0.0
69,异常地,一般,0.0,0.0,0.0
212,人,一分钱,0.0,0.0,0.0
66,大声地,微妙地,0.0,0.0,0.0
75,两次,总是,0.0,0.0,0.0
217,自行车,卧室,0.0,0.0,0.0
273,云,窗口,0.0,0.0,0.0
272,人群,束,0.0,0.0,0.0
456,给,断绝亲子关系,0.0,0.0,0.0
218,鸵鸟,果园,0.0,0.0,0.0
76,最近,现实地,0.0,0.0,0.0
222,容器,老鼠,0.0,0.0,0.0
111,草,刀口,0.0,0.0,0.0
419,创建,潜水,0.0,0.0,0.0
157,意外,书,0.0,0.0,0.0
83,紧紧地,难以置信地,0.0,0.0,0.0
269,一分钱,尺寸,0.0,0.0,0.0
80,大致地,容易地,0.0,0.0,0.0
388,打,吸引,0.0,0.0,0.0
317,南,北,0.18,0.18,0.0
28,电动,甜,0.0,0.0,0.0
9,坚硬,密度大,2.54,2.55,-0.009999999999999787
435,带来,抱怨,0.17,0.18,-0.009999999999999981
291,家伙,帅哥,0.79,0.82,-0.029999999999999916
82,两次,多,0.15,0.18,-0.03
293,歌剧,电影,0.88,0.91,-0.030000000000000027
242,后世,炼狱,0.05,0.09,-0.039999999999999994
296,犯罪,违反,3.41,3.45,-0.040000000000000036
135,深度,大小,0.77,0.82,-0.04999999999999993
235,密码,标志,0.04,0.09,-0.049999999999999996
327,地图,广场,0.22,0.27,-0.05000000000000002
178,大灾变,火,0.76,0.82,-0.05999999999999994
170,章,选择,0.02,0.09,-0.06999999999999999
187,士兵,和平,0.02,0.09,-0.06999999999999999
8,粗糙,无礼,0.38,0.45,-0.07
346,血液,肉,0.28,0.36,-0.07999999999999996
52,乱,清洁,0.0,0.09,-0.09
396,停,驾驶,0.0,0.09,-0.09
249,徽章,玻璃,0.0,0.09,-0.09
458,走,发送,0.0,0.09,-0.09
25,无知,频繁,0.0,0.09,-0.09
156,续集,相机,0.0,0.09,-0.09
115,皇帝,宪法,0.0,0.09,-0.09
161,客串角色,性能,0.0,0.09,-0.09
197,天神,魔鬼,0.0,0.09,-0.09
280,衣服,壁橱,0.43,0.55,-0.12000000000000005
434,承诺,发誓,3.78,3.91,-0.13000000000000034
325,城镇,城市,3.68,3.82,-0.13999999999999968
168,木,原木,4.04,4.18,-0.13999999999999968
258,肌肉,舌头,0.22,0.36,-0.13999999999999999
30,笨,傻,5.12,5.27,-0.14999999999999947
375,接受,承认,3.12,3.27,-0.1499999999999999
158,文章,杂志,1.94,2.09,-0.1499999999999999
24,兴奋,受惊,0.39,0.55,-0.16000000000000003
295,大自然,植物群,1.66,1.82,-0.16000000000000014
345,菜单,点菜,1.27,1.45,-0.17999999999999994
46,尖,平滑,0.0,0.18,-0.18
395,羞辱,安慰,0.0,0.18,-0.18
256,生物学家,显微镜,0.0,0.18,-0.18
403,出席,争论,0.0,0.18,-0.18
417,离开,留,0.0,0.18,-0.18
71,理想地,实际地,0.0,0.18,-0.18
19,不需要,必须,0.0,0.18,-0.18
160,缺席,在场,0.0,0.18,-0.18
385,搜索,狩猎,0.54,0.73,-0.18999999999999995
55,愉快,精彩,2.36,2.55,-0.18999999999999995
427,假设,预测,4.62,4.82,-0.20000000000000018
74,今天晚上,今天,2.14,2.36,-0.21999999999999975
274,大主教,主教,4.04,4.27,-0.22999999999999954
276,行动,课程,0.13,0.36,-0.22999999999999998
36,大,柔韧,0.02,0.27,-0.25
418,到达,离开,0.0,0.27,-0.27
360,问,求情,0.0,0.27,-0.27
431,驱逐,离开,2.08,2.36,-0.2799999999999998
364,玩,搏斗,0.08,0.36,-0.27999999999999997
351,书,正文,2.26,2.55,-0.29000000000000004
306,花朵,忍耐力,0.13,0.45,-0.32
230,海军,军队,3.49,3.82,-0.3299999999999996
153,电影,剧院,1.56,1.91,-0.34999999999999987
449,煮沸,炒,0.38,0.73,-0.35
376,给,偷,0.0,0.36,-0.36
359,提醒,忘记,0.0,0.36,-0.36
65,显然,不显眼地,0.0,0.36,-0.36
78,死气沉沉的,高高兴兴地,0.0,0.36,-0.36
88,通常,很少地,0.0,0.36,-0.36
387,杀,防守,0.0,0.36,-0.36
384,离开,参加,0.0,0.36,-0.36
287,水,盐,0.0,0.36,-0.36
378,成功,失败,0.0,0.36,-0.36
261,乳制品,蜜糖,0.0,0.36,-0.36
425,同意,争论,0.0,0.36,-0.36
70,在家里,在别处,0.0,0.36,-0.36
334,单身牢房,锁起来,0.73,1.09,-0.3600000000000001
191,狗,马,0.45,0.82,-0.36999999999999994
189,子程序,编译器,0.35,0.73,-0.38
311,传记,小说,2.26,2.64,-0.38000000000000034
313,人口,人,2.16,2.55,-0.3899999999999997
358,说话,低语,2.61,3.0,-0.3900000000000001
148,雪,风暴,0.42,0.82,-0.39999999999999997
84,有时,每当,0.15,0.55,-0.4
22,善良,大方,1.59,2.0,-0.4099999999999999
122,红酒,酒,3.57,4.0,-0.43000000000000016
471,加,除,0.0,0.45,-0.45
215,爆玉米花,电影,0.0,0.45,-0.45
229,首词,句法,0.0,0.45,-0.45
91,自豪的,谦逊地,0.0,0.45,-0.45
231,车,出租车,2.99,3.45,-0.45999999999999996
96,作曲家,作家,2.09,2.55,-0.45999999999999996
329,水平,得分,0.2,0.73,-0.53
3,闷,平庸,0.38,0.91,-0.53
126,书,圣经,1.82,2.36,-0.5399999999999998
314,飞机,喷气式飞机,3.01,3.55,-0.54
216,蝴蝶,玫瑰,0.0,0.55,-0.55
447,花费,节约,0.09,0.64,-0.55
357,偷,购买,0.0,0.55,-0.55
297,橡木,枫木,1.79,2.36,-0.5699999999999998
414,了解,原谅,0.05,0.64,-0.59
73,准确地,积极地,0.0,0.64,-0.64
190,洞,妻子,0.0,0.64,-0.64
137,合金,钢,3.14,3.82,-0.6799999999999997
316,地板,甲板,1.68,2.36,-0.6799999999999999
124,老鹰,猎鹰,2.49,3.18,-0.69
247,烟草,香烟,4.05,4.82,-0.7700000000000005
141,航空,飞行,2.17,3.0,-0.8300000000000001
459,获得,偷,0.38,1.27,-0.89
350,分界线,国境,2.29,3.18,-0.8900000000000001
263,酒,白兰地酒,2.74,3.64,-0.8999999999999999
59,生病,疯,0.0,0.91,-0.91
267,价值,价格,2.82,3.73,-0.9100000000000001
257,仆人,奴隶,2.42,3.36,-0.94
415,借,乞求,0.02,1.09,-1.07
282,大气层,臭氧,1.48,2.64,-1.1600000000000001
338,成年人,监护人,1.41,2.64,-1.2300000000000002
60,每月,每周,0.38,1.64,-1.2599999999999998
308,昆虫,蜜蜂,1.74,3.0,-1.26
106,政治家,总统,1.78,3.09,-1.3099999999999998
330,门,门口,2.24,3.64,-1.4
423,运输,电梯,0.0,1.45,-1.45
452,举起,提高,1.94,3.55,-1.6099999999999999
361,听,听见,2.61,4.27,-1.6599999999999997
289,朋友,宾客,1.42,3.18,-1.7600000000000002
95,战斗,好斗,1.12,3.0,-1.88
171,幸福,和平,0.15,2.27,-2.12
368,接受,原谅,0.42,2.55,-2.13
340,月亮,行星,0.38,2.73,-2.35
89,有意义地,特别,0.43,3.0,-2.57
