word1,word2,similarity_score_1,similarity_score_2,similarity_score_3,similarity_score_4,similarity_score_5,similarity_score_6,similarity_score_7,similarity_score_8,similarity_score_9,similarity_score_10,similarity_score_11,similarity_score_12,similarity_score_13,similarity_score_14,similarity_score_15
新,新鲜,4,5,4,4,4,4,4,4,4,5,4,5,4,5,4
孩子气,傻,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
愉快,精彩,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
旧,杂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
羞耻,心烦,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
普通,冷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
生病,疯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
每月,每周,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仁慈地,温和地,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
不同的,奇怪地,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3
和平地,混乱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
好心地,仁慈地,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
显然,不显眼地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大声地,微妙地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
异常,奇怪地,4,5,4,4,4,4,4,4,4,5,4,5,4,4,4
谨慎地,有礼貌地,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
异常地,一般,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在家里,在别处,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
理想地,实际地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
通常,日常,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
准确地,积极地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
今天晚上,今天,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
两次,总是,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
最近,现实地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
粗糙地,大致,2,4,4,4,2,4,4,4,2,2,2,2,4,4,2
死气沉沉的,高高兴兴地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
稍微地,大致,2,4,4,4,2,4,4,4,2,2,2,2,4,4,2
大致地,容易地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
准确地,精确地,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
两次,多,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
紧紧地,难以置信地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
有时,每当,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
极其,非常,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
看来,显然,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
紧张地,焦急地,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
通常,很少地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
有意义地,特别,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
重要地,真实地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自豪的,谦逊地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香芹,松饼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
女儿,孩子,4,4,4,4,4,4,4,4,4,2,4,2,4,4,2
闪电攻击,攻击,4,4,4,4,4,4,4,4,4,2,4,2,4,4,2
战斗,好斗,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2
作曲家,作家,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
主机板,主板,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
船,车,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1
无穷,零,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
床,家俱,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
诗,韵律,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4
肚子,卧室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩浆,火山,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4
碗,尾巴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奖学金,学费,2,2,3,3,3,2,2,3,3,2,3,3,4,3,3
政治家,总统,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2
泡,肥皂泡沫,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
节奏,旋律,4,4,5,5,5,5,5,5,5,6,5,5,6,5,5
校园,大学,4,4,4,4,3,3,4,4,4,4,3,3,4,3,3
锡,金属,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
草,刀口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
多面体,演员,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
日期,日历,4,4,4,4,3,3,3,4,3,4,3,3,4,3,3
门,走廊,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1
皇帝,宪法,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
丰富,许多,4,4,5,5,5,5,5,5,5,6,5,5,6,5,5
原木,沐浴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雨,薄雾,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
苹果,柠檬,2,2,3,3,3,3,3,3,2,2,2,2,2,3,3
幸福,悲伤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
走道,大厅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
红酒,酒,4,4,2,4,2,4,2,4,2,2,4,4,4,4,4
导演,摄影,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
老鹰,猎鹰,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
周末,种族,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
书,圣经,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
财富,名誉,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2
尾巴,后部,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
手臂,骨头,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2
海滩,暗礁,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
过道,走廊,4,4,4,4,6,4,4,4,4,4,4,5,4,4,4
薄荷,博物馆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
游戏,乐趣,4,4,2,4,2,4,2,4,2,2,4,3,2,2,3
枪,大炮,4,4,2,4,2,4,2,2,2,2,4,3,2,2,3
深度,大小,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
作者,创造者,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5
合金,钢,4,4,2,4,4,4,2,4,4,2,4,4,4,4,4
威士忌酒,杜松子酒,4,4,2,4,4,4,2,4,4,2,4,4,4,4,4
罐,瓶子,4,4,2,4,4,4,2,4,4,2,4,4,4,4,4
报纸,资料,4,2,2,2,2,2,2,2,2,2,2,3,2,2,3
航空,飞行,4,2,2,4,2,4,2,4,2,2,4,3,2,2,4
汽车,软管,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
募捐,发展,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0
房间,大厦,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
树枝,手臂,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
法庭,正义,0,0,0,0,0,0,1,1,1,0,2,2,2,1,2
女孩,小孩,2,2,4,2,4,4,2,2,3,2,3,4,4,2,2
雪,风暴,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
音乐,旋律,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4
公主,饼干,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
任务,女人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
猫,狮子,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
电影,剧院,0,0,0,0,0,0,1,1,1,0,2,2,2,2,2
态度,自信,2,2,0,2,0,0,1,2,1,2,2,2,2,2,2
老师,教练,3,4,4,4,4,4,2,3,3,3,3,4,4,3,3
续集,相机,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
意外,书,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
文章,杂志,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2
母鸡,火鸡,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
缺席,在场,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
客串角色,性能,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
便士,便宜货,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
床,医院,2,2,2,2,2,2,1,1,1,0,2,2,2,2,2
牛,山羊,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
血液,骨髓,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
足球,英式足球,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6
尖顶,教堂,2,2,4,4,4,4,2,2,2,4,3,2,4,3,3
木,原木,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车,高速公路,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
章,选择,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
幸福,和平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喷嘴,流体,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4
洞,协议,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
踝,窗口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
早餐,培根,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
小说,作家,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
病人,复诊,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2
大灾变,火,2,2,2,0,2,2,0,0,2,2,2,2,2,0,2
冠军,优胜者,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
侵略,敌意,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
协议,条件,2,2,2,2,2,4,2,2,4,4,4,4,2,2,2
滑雪板,滑雪,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
工作者,雇主,2,2,2,0,2,2,0,0,0,0,2,0,2,0,0
蔗糖,糖类,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
洗手间,厨房,2,2,2,2,2,2,2,0,0,0,2,2,2,0,0
帮手,女仆,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4
士兵,和平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
感觉,直觉,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
子程序,编译器,0,2,2,0,2,2,0,0,0,0,2,0,2,0,0
洞,妻子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
狗,马,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
乐队,管弦乐队,5,4,4,4,5,4,5,5,4,5,4,4,4,4,4
衣服,外套,4,3,4,4,4,3,4,4,4,4,4,3,3,3,3
荣誉,敬重,5,4,4,4,4,3,5,4,4,5,4,4,4,4,4
谷,凹地,3,2,0,4,4,2,2,3,4,2,2,4,2,3,2
课程,肚子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天神,魔鬼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
身体,脊柱,4,3,4,2,3,2,4,3,4,3,2,3,2,3,3
规则,惯例,5,5,4,4,5,4,5,5,4,5,4,5,5,5,5
苍蝇,蚂蚁,2,2,0,2,3,2,3,2,2,2,2,2,2,2,2
骨头,牙齿,3,2,2,2,3,2,3,3,2,3,2,3,2,2,2
力量,能力,5,5,4,4,5,4,5,5,4,5,4,5,5,5,5
床,毯子,3,2,2,2,3,2,3,3,2,3,2,2,2,2,2
便条,作业,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2
汽车,货车,4,3,4,4,4,3,4,4,4,4,4,3,3,3,3
身体,胸部,4,3,4,2,3,2,4,3,4,3,2,3,2,3,3
商业,工业,3,3,2,2,3,2,3,3,2,3,2,3,3,3,3
肾,器官,5,4,4,4,4,3,5,5,4,4,4,4,4,4,4
晚上,章节,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大麻,草药,3,3,2,2,3,2,3,3,2,3,2,3,3,3,3
重新安葬,坟墓,3,2,2,2,3,2,3,3,2,3,2,3,2,2,2
人,一分钱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
恶意软件,蠕虫,3,3,2,2,3,2,4,3,2,3,2,3,3,3,3
人物,人,5,5,4,4,5,4,5,5,4,5,4,5,4,4,5
爆玉米花,电影,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蝴蝶,玫瑰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自行车,卧室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鸵鸟,果园,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蜥蜴,鳄鱼,2,3,2,3,3,4,3,4,3,3,3,2,4,3,3
河流,大海,2,3,2,3,3,4,3,4,3,3,3,2,4,3,3
领导,经理,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
容器,老鼠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
司机,飞行员,3,3,3,3,3,4,3,4,3,3,3,2,4,3,3
检察官,律师,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
眉头,眼睛,2,2,2,3,3,3,2,3,2,3,2,2,3,2,2
米,码,2,2,2,3,3,2,2,4,2,3,4,2,2,2,2
队长,水手,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
工人,机械师,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
首词,句法,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
海军,军队,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
车,出租车,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
公式,日志,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
飞机,机场,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3
云,薄雾,3,3,3,3,3,4,3,4,3,3,3,2,4,3,3
密码,标志,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
手臂,脖子,2,2,2,2,0,2,2,2,2,2,2,0,2,0,2
词,页,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
航空电子学,航空学,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
飞机场,片,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
历史学家,史学家,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
篱笆,跳跃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
后世,炼狱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电动机,发动机,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
猫,兔子,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
蜜蜂,蚂蚁,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
暴民,人群,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2
烟草,香烟,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
花,灌木,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
徽章,玻璃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鼻子,嘴巴,2,2,2,2,3,2,4,2,3,4,4,2,4,2,4
环球航行,行李,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
智力,洞察力,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
手,脚,2,2,2,2,3,2,4,2,3,4,4,2,4,2,2
风尚,时装,2,2,2,2,3,2,4,2,3,3,4,2,4,2,2
证明,事实,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2
生物学家,显微镜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
仆人,奴隶,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2
肌肉,舌头,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
数学家,节目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
代码,符号,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
乳制品,蜜糖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
雪,冰,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
酒,白兰地酒,2,2,2,2,3,2,4,2,4,3,4,2,4,4,2
价值观,信念,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4
雪,天气,2,3,2,2,2,2,3,3,2,2,2,2,3,3,2
手指,手掌,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
价值,价格,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2
秒,分钟,2,3,3,2,2,3,3,4,2,2,2,2,3,3,2
一分钱,尺寸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
逻辑,算术,4,3,3,4,2,4,3,4,3,2,4,3,3,3,3
牛,家牛,4,5,4,4,4,4,5,5,4,4,4,5,5,5,4
人群,束,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
云,窗口,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大主教,主教,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
世纪,年,2,3,3,4,2,3,3,4,2,2,2,3,3,3,2
行动,课程,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0
身体,肚子,2,3,2,2,2,2,2,3,2,2,2,2,3,3,2
暴风雨,飓风,4,3,3,4,4,4,4,4,4,4,4,3,3,4,3
指甲,手,2,3,3,2,2,3,3,3,3,2,2,3,3,3,3
衣服,壁橱,2,2,0,2,0,2,2,2,2,2,0,2,2,2,2
男孩,孩子,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4
大气层,臭氧,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
意见,主意,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4
契约,协议,6,5,5,6,6,6,5,5,6,6,6,5,5,5,6
磁盘,电脑,2,3,2,2,2,2,2,3,2,2,2,2,3,3,2
晚餐,汤,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
水,盐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
男人,嫌疑人,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0
朋友,宾客,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
衣服,布料,2,2,2,2,2,2,4,4,2,3,2,2,2,2,2
家伙,帅哥,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0
吉他,鼓,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0
歌剧,电影,1,0,1,1,1,1,2,2,1,0,1,1,1,1,0
海军,岛,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0
大自然,植物群,2,2,2,2,2,2,4,4,2,3,2,2,2,2,2
犯罪,违反,2,2,2,2,2,2,4,4,2,4,2,2,2,2,2
橡木,枫木,1,0,1,1,1,1,2,2,1,2,1,1,1,1,0
蝙蝠,吸血鬼,1,0,1,1,1,1,2,0,1,0,1,1,1,1,0
伞,暖炉,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0
财富,声望,2,0,2,2,2,2,2,2,1,3,1,2,2,2,2
生日,日期,2,2,2,2,2,2,4,4,2,3,2,2,2,2,2
副驾驶,座舱,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0
传感器,散热器,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0
学校,年级,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
歌曲,演员,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0
花朵,忍耐力,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0
面包,小麦粉,2,2,2,2,2,2,4,4,2,3,2,2,2,2,2
昆虫,蜜蜂,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
喇叭,鼓,1,0,1,1,1,1,2,2,1,2,1,1,1,1,0
心情,情感,2,2,2,2,2,2,4,4,2,4,2,2,2,2,4
传记,小说,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
活塞,发动机,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
人口,人,2,2,2,3,2,2,3,2,3,2,3,2,2,2,2
飞机,喷气式飞机,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
容器,静脉,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
地板,甲板,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3
南,北,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
纱,线,4,4,4,3,3,3,3,4,3,3,3,3,3,4,3
房间,单身牢房,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
下面,侧面,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1
公司,企业,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
音节,词元,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2
律师,画廊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
男人,武士,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
城镇,城市,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
蛇,蜥蜴,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
地图,广场,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
锡,铝,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2
水平,得分,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
门,门口,2,3,2,2,2,3,3,3,3,2,3,2,2,3,3
指甲,拇指,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1
甲板,老鼠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大厦,雕塑家,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
单身牢房,锁起来,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
王冠,锁匙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电线,软线,6,4,4,4,6,6,6,6,4,6,4,6,6,5,3
图表,图解,6,5,6,5,6,6,6,6,6,6,5,6,6,6,6
成年人,监护人,2,3,3,3,2,0,0,2,2,2,3,2,2,3,3
翻译者,外国人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
月亮,行星,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
歌谣,歌曲,6,5,5,5,6,6,6,6,5,6,5,6,6,5,6
钱包,袋,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4
键盘,光,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
冬天,夏天,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
菜单,点菜,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2
血液,肉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新娘,公主,2,3,3,3,2,0,0,2,3,2,3,2,2,3,3
任务,稻草,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
裁判官,法官,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
分界线,国境,2,4,3,3,2,0,0,4,3,4,4,4,2,4,3
书,正文,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4
癌症,疾病,4,5,4,5,4,6,6,4,5,4,5,4,4,5,4
优雅,风格,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4
星,明亮,2,3,3,3,2,0,6,2,3,2,3,2,2,4,3
失败,使气馁,4,3,3,3,2,6,6,4,3,2,3,4,2,3,3
掩盖,保护,4,4,4,4,4,6,6,4,4,4,4,4,4,4,4
偷,购买,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
说话,低语,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
提醒,忘记,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
问,求情,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
听,听见,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
侮辱,得罪,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2
完成,毕业,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
玩,搏斗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
